,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,total_magnetization,material_id,oxide_type,tags,elasticity
0,-726.71019624,-7.2671019624,1118.1849249793827,-3.221472349149999,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.21425598060000173,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244937'],3.1881,3.0283127645304933,0.0,mp-1244937,oxide,['Amorphous'],
1,-732.0420392,-7.320420392,1090.1160373476243,-3.274790778749999,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.16093755100000173,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1245111'],2.9984,3.106287372544007,2.5e-08,mp-1245111,oxide,['Amorphous'],
2,-159.61392441,-6.384556976400001,331.06052103606294,-2.33892736315,25,"{'Al': 10.0, 'O': 15.0}",Al2O3,False,"['Al', 'O']",2,1.096800966600001,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}",['mp-1247845'],0.0,2.557095656425137,0.9971735,mp-1247845,oxide,[],
3,-292.80786843,-7.3201967107499994,389.507244986848,-3.2745670974999994,40,"{'Al': 16.0, 'O': 24.0}",Al2O3,False,"['Al', 'O']",2,0.16116123225000134,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}","['mp-684677', 'mp-723974', 'mp-742786', 'mp-735247', 'mp-1247840', 'mp-1357755']",3.967599999999999,3.4774333212055915,3.125e-07,mp-684677,oxide,[],
4,-593.94086753,-7.4242608441249995,761.6776924534049,-3.378631230875,80,"{'Al': 32.0, 'O': 48.0}",Al2O3,False,"['Al', 'O']",2,0.05709709887500125,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cm', 'number': 8, 'point_group': 'm', 'crystal_system': 'monoclinic', 'hall': 'C -2y'}","['mp-859336', 'mp-731104', 'mp-848497', 'mp-749981', 'mp-32591', 'mp-1327198', 'mp-1637601']",3.0751999999999997,3.5565843295354598,5.26e-05,mp-32591,oxide,[],
5,-717.96933017,-7.1796933017,1114.6688241065783,-2.9924216884500003,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.4433066413000004,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244981'],1.9889000000000001,3.037865245881198,0.0,mp-1244981,peroxide,['Amorphous'],
6,-727.63245957,-7.2763245957,1114.9533590267056,-3.2306949824499998,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.20503334730000056,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244878'],2.9356,3.037089985877633,0.0,mp-1244878,oxide,['Amorphous'],
7,-724.16734312,-7.241673431200001,1104.5286635441053,-3.19604381795,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.23968451180000105,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244874'],3.0435999999999996,3.0657544644928274,0.0,mp-1244874,oxide,['Amorphous'],
8,-294.23886921,-7.35597173025,388.93471519816154,-3.3103421170000003,40,"{'Al': 16.0, 'O': 24.0}",Al2O3,False,"['Al', 'O']",2,0.1253862127500005,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}","['mp-736365', 'mp-725132', 'mp-684591', 'mp-746280', 'mp-1247926', 'mp-1358659']",3.3432999999999993,3.4825522629887815,1.4225e-05,mp-684591,oxide,[],"{'G_Reuss': 69.0, 'G_VRH': 79.0, 'G_Voigt': 90.0, 'G_Voigt_Reuss_Hill': 79.0, 'K_Reuss': 131.0, 'K_VRH': 139.0, 'K_Voigt': 147.0, 'K_Voigt_Reuss_Hill': 139.0, 'elastic_anisotropy': 1.62, 'elastic_tensor': [[202.0, 76.0, 36.0, 6.0, -9.0, -5.0], [76.0, 348.0, 113.0, 16.0, -3.0, 20.0], [36.0, 113.0, 323.0, -8.0, -2.0, -28.0], [6.0, 16.0, -8.0, 113.0, -24.0, -1.0], [-9.0, -3.0, -2.0, -24.0, 51.0, 18.0], [-5.0, 20.0, -28.0, -1.0, 18.0, 69.0]], 'homogeneous_poisson': 0.26, 'poisson_ratio': 0.26, 'universal_anisotropy': 1.62, 'elastic_tensor_original': [[322.84119044066665, 113.83603576080665, 35.949732961467674, -26.686845907176316, 1.8045075617319628, -6.174045220104152], [113.3518587879041, 348.0032206511575, 76.82981115536528, 22.68395854894728, -1.8069338906114798, 15.080216085250438], [34.71137198070374, 76.45304619194438, 200.84371360281017, 0.8432649385356696, -3.040631746832048, 5.448295969838541], [-28.35376368301155, 21.32905872789828, -8.8266766513435, 69.40359232530231, 13.653992366885971, -1.1992679671091941], [1.5602690710747138, -3.734045654900237, -16.08489799485317, 19.751085270673745, 50.70909651174773, -23.360281389888552], [-6.409324833346043, 15.504229142417968, 5.25078930262694, -0.3953728659700508, -23.862052552201472, 113.16241763873958]], 'compliance_tensor': [[5.5, -1.2, -0.1, -0.0, 0.7, 0.5], [-1.2, 3.7, -1.3, -0.5, 0.3, -1.8], [-0.1, -1.3, 3.8, 0.4, -0.5, 2.0], [-0.0, -0.5, 0.4, 10.0, 4.9, -0.8], [0.7, 0.3, -0.5, 4.9, 24.1, -6.4], [0.5, -1.8, 2.0, -0.8, -6.4, 17.6]], 'warnings': [], 'nsites': 40}"
9,-730.33765536,-7.3033765536,1128.236974708629,-3.2577469403499992,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.17798138940000108,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1245191'],3.1755999999999998,3.001331951822566,0.0,mp-1245191,oxide,['Amorphous'],
10,-728.93430085,-7.2893430085,1118.8319139586297,-3.2437133952499995,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.1920149345000013,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1245037'],3.0469999999999997,3.0265615765639007,0.0,mp-1245037,oxide,['Amorphous'],
11,-724.23211238,-7.2423211238,1114.2981177125785,-3.196691510549999,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.23903681920000164,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244994'],3.2127000000000003,3.0388758875154767,0.0,mp-1244994,oxide,['Amorphous'],
12,-729.19618733,-7.2919618733,1078.7666399655545,-3.24633226005,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.18939606970000078,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244940'],3.1434000000000006,3.138967739611191,0.0,mp-1244940,oxide,['Amorphous'],
13,-297.57861634,-7.4394654085,378.7209302897658,-3.39383579525,40,"{'Al': 16.0, 'O': 24.0}",Al2O3,False,"['Al', 'O']",2,0.04189253450000052,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/m', 'number': 12, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2y'}",['mp-1245211'],3.7681999999999993,3.576473767985083,0.00022745,mp-1245211,oxide,['Amorphous'],
14,-727.72294766,-7.2772294766000005,1076.9650888764947,-3.23159986335,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.20412846640000115,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1245063'],3.3264999999999993,3.14421861617927,0.0,mp-1245063,oxide,['Amorphous'],
15,-298.06373225,-7.4515933062499995,361.6570335607411,-3.4059636929999995,40,"{'Al': 16.0, 'O': 24.0}",Al2O3,False,"['Al', 'O']",2,0.029764636750001294,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ia-3', 'number': 206, 'point_group': 'm-3', 'crystal_system': 'cubic', 'hall': '-I 2b 2c 3'}","['mp-857781', 'mp-856844', 'mp-776475', 'mp-854012', 'mp-1360013']",5.215800000000001,3.745220877449811,0.0,mp-776475,oxide,[],"{'G_Reuss': 126.0, 'G_VRH': 127.0, 'G_Voigt': 128.0, 'G_Voigt_Reuss_Hill': 127.0, 'K_Reuss': 216.0, 'K_VRH': 216.0, 'K_Voigt': 216.0, 'K_Voigt_Reuss_Hill': 216.0, 'elastic_anisotropy': 0.06, 'elastic_tensor': [[410.0, 118.0, 118.0, 0.0, 0.0, 0.0], [118.0, 410.0, 118.0, 0.0, 0.0, 0.0], [118.0, 118.0, 410.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 116.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 116.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 116.0]], 'homogeneous_poisson': 0.25, 'poisson_ratio': 0.25, 'universal_anisotropy': 0.06, 'elastic_tensor_original': [[409.83575196067, 118.12629128557322, 118.75096412851644, 0.0, 0.0, 0.0], [118.75111210510576, 409.8354688788562, 118.12633702157973, 0.0, 0.0, 0.0], [118.12634827508552, 118.75099703904257, 409.83584695998513, 0.0, 0.0, 0.0], [-5.333335487182288e-07, 1.5700006372081802e-06, 6.57666932994407e-06, 116.03818288387173, 0.0, 0.0], [1.966667465305298e-06, 8.033336589325961e-07, 5.173335429910315e-06, 0.0, 116.46105988844019, 0.0], [-1.2303338313464197e-05, 4.583335188914392e-06, -9.236670406505821e-06, 0.0, 0.0, 116.03817546720207]], 'compliance_tensor': [[2.8, -0.6, -0.6, -0.0, 0.0, -0.0], [-0.6, 2.8, -0.6, -0.0, -0.0, 0.0], [-0.6, -0.6, 2.8, 0.0, -0.0, -0.0], [-0.0, -0.0, 0.0, 8.6, -0.0, -0.0], [0.0, -0.0, -0.0, -0.0, 8.6, -0.0], [-0.0, 0.0, -0.0, -0.0, -0.0, 8.6]], 'warnings': [], 'nsites': 40}"
16,-725.14266868,-7.2514266868,1051.1869044233417,-3.20579707355,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.22993125620000132,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244898'],3.0829999999999993,3.2213240739316857,0.0,mp-1244898,oxide,['Amorphous'],
17,-147.76001341,-7.3880006705,171.3207612152271,-3.34237105725,20,"{'Al': 8.0, 'O': 12.0}",Al2O3,False,"['Al', 'O']",2,0.09335727250000048,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pbcn', 'number': 60, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2n 2ab'}","['mp-663715', 'mp-699977', 'mp-678765', 'mp-1938', 'mp-1432919', 'mp-1604957', 'mp-1705351']",5.3131,3.9530686851975863,0.0,mp-1938,oxide,"['High pressure experimental phase', 'Dialuminium trioxide - HP, Rh2O3(II)-type', 'Aluminium oxide']","{'G_Reuss': 143.0, 'G_VRH': 145.0, 'G_Voigt': 147.0, 'G_Voigt_Reuss_Hill': 145.0, 'K_Reuss': 231.0, 'K_VRH': 231.0, 'K_Voigt': 231.0, 'K_Voigt_Reuss_Hill': 231.0, 'elastic_anisotropy': 0.14, 'elastic_tensor': [[450.0, 146.0, 87.0, 0.0, 0.0, 0.0], [146.0, 394.0, 150.0, 0.0, 0.0, 0.0], [87.0, 150.0, 466.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 164.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 120.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 143.0]], 'homogeneous_poisson': 0.24, 'poisson_ratio': 0.24, 'universal_anisotropy': 0.14, 'elastic_tensor_original': [[465.8730510953672, 86.75158420469745, 150.66322874043414, 0.0, 0.0, 0.0], [87.09316595604705, 450.3605335511943, 146.48477356417047, 0.0, 0.0, 0.0], [150.28385477694047, 146.04240199076122, 394.3920840650206, 0.0, 0.0, 0.0], [-4.670000932785679e-06, -7.333359106871118e-07, -4.229991172108958e-06, 143.18615159734233, 0.0, 0.0], [-4.9699938404945516e-06, -1.0999986347100376e-07, 5.383326663006323e-06, 0.0, 164.0964212750839, 0.0], [4.993327256023971e-06, 7.993323602665392e-06, 1.399998296737717e-07, 0.0, 0.0, 119.81282328613301]], 'compliance_tensor': [[2.5, -0.9, -0.2, -0.0, 0.0, 0.0], [-0.9, 3.2, -0.9, 0.0, 0.0, 0.0], [-0.2, -0.9, 2.5, 0.0, 0.0, 0.0], [-0.0, 0.0, 0.0, 6.1, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 8.3, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 7.0]], 'warnings': [], 'nsites': 20}"
18,-728.69791243,-7.2869791243,1120.5080226810994,-3.2413495110499992,100,"{'Al': 40.0, 'O': 60.0}",Al2O3,False,"['Al', 'O']",2,0.1943788187000015,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244954'],2.9883999999999995,3.0220343030817953,0.0,mp-1244954,oxide,['Amorphous'],
