,angle
0,99.25332044275608
1,134.81004066554132
2,97.83596101637825
3,99.25332044275608
4,134.47501417568574
5,97.83596101637825
6,99.25332044275612
7,97.8359610163782
8,134.81004066554135
9,134.4750141756857
10,99.25332044275612
11,97.8359610163782
12,134.81004066554135
13,97.83596101637823
14,99.2533204427561
15,97.83596101637823
16,99.2533204427561
17,134.4750141756857
18,97.8359610163782
19,134.81004066554132
20,99.25332044275612
21,97.8359610163782
22,134.4750141756857
23,99.25332044275612
