,length
0,[1.98975864 1.97660191 2.32550791 2.02133032 1.94221557]
1,[2.02133032 2.32550791 1.98975864 1.94221557 1.97660191]
2,[1.94221557 1.97660191 2.02133032 1.98975864 2.32550791]
3,[2.02133032 1.94221557 2.32550791 1.98975864 1.97660191]
4,[1.94221557 2.32550791 2.02133032 1.97660191 1.98975864]
5,[1.94221557 2.02133032 1.97660191 1.98975864 2.32550791]
6,[1.97660191 1.94221557 2.32550791 1.98975864 2.02133032]
7,[2.32550791 1.97660191 1.98975864 1.94221557 2.02133032]
8,[1.90918413 2.1128168  2.1128168  2.1128168  1.98372313]
9,[1.98975864 2.32550791 2.02133032 1.97660191 1.94221557]
10,[1.98975864 1.97660191 2.32550791 2.02133032 1.94221557]
11,[2.1128168  1.90918413 1.98372313 2.1128168  2.1128168 ]
12,[2.02133032 2.32550791 1.94221557 1.98975864 1.97660191]
13,[2.1128168  1.98372313 2.1128168  1.90918413 2.1128168 ]
14,[1.97660191 1.98975864 1.94221557 2.02133032 2.32550791]
15,[2.1128168  1.98372313 2.1128168  2.1128168  1.90918413]
