,length
0,[1.84839572 1.88749516 1.91460243 1.98396909]
1,[1.91459854 1.9839641  1.84840017 1.88749831]
2,[2.00097225 1.9252489  1.91590458 1.8644542 ]
3,[1.91590458 1.8644542  2.00096781 1.9252489 ]
4,[1.9445062  1.94686226 1.95613213 2.41329337 1.95504011]
5,[1.95504011 1.95613213 2.41329337 1.9445062  1.94686226]
6,[1.95391022 1.95594402 2.41156816 1.94333661 1.94671909]
7,[1.94333661 1.94671909 1.95594402 2.41156816 1.95391022]
8,[1.92230717 2.00400617 1.94617861 1.91828958]
9,[1.94617861 1.91828958 1.92230717 2.00400617]
10,[1.91898456 1.9487824  2.00940427 1.92348386]
11,[2.00940427 1.92348386 1.91898456 1.9487824 ]
12,[1.88543576 1.97401956 2.02964176 1.88795104]
13,[2.02964176 1.88795104 1.88543576 1.97401956]
14,[1.89038    2.03557427 1.97399734 1.88700476 2.38128525]
15,[1.97399734 2.38128525 1.88700476 1.89038    2.03557427]
16,[1.9263879  1.91994084 1.92161244 1.94158831]
17,[1.92161244 1.94158831 1.9263879  1.91994084]
18,[1.93483933 1.94454871 2.42128095 1.950326   1.92307951]
19,[1.94454871 1.950326   1.92307951 2.42128095 1.93483933]
20,[1.92390374 2.04988905 1.90517651 1.90489717]
21,[1.90517651 1.90489717 1.92390374 2.04988905]
22,[1.90443481 1.90581115 2.04763672 1.92229939]
23,[2.04763672 1.92229939 1.90443481 1.90581115]
24,[2.02694974 2.0314236  1.98712811 1.94314539]
25,[1.98712811 1.94314539 2.02694974 2.0314236 ]
26,[1.94082079 1.98976174 2.02012642 2.02551439]
27,[2.02012642 2.02551439 1.94082079 1.98976174]
28,[2.09826016 1.91572238 1.92400796 2.37141785 2.07315935]
29,[2.37141785 1.92400796 2.07315935 2.09826016 1.91572238]
30,[2.07175234 2.37555126 1.92579931 1.9146974  2.09727065]
31,[1.9146974  2.09727065 2.07175234 1.92579931 2.37555126]
32,[1.96319072 1.97507936 2.01837606 2.01727804]
33,[2.01837606 2.01727804 1.97507936 1.96319072]
34,[2.01708108 2.01833738 1.96778177 1.96147707]
35,[1.96147707 1.96778177 2.01708108 2.01833738]
