,angle
0,91.77561359292588
1,86.94207829184023
2,167.86087666418877
3,167.86087666418877
4,86.94207829184023
5,91.77561359292588
6,91.77561359292586
7,86.94207829184023
8,167.86087666418865
9,167.86087666418865
10,86.94207829184023
11,91.77561359292586
12,85.60562650014808
13,47.05591903144859
14,92.4411942444493
15,169.0139263793492
16,125.59492344645939
17,47.05591903144859
18,169.01392637934924
19,92.44119424444932
20,125.59492344645945
21,125.34306707047494
22,125.34306707047494
23,120.70828128842038
24,87.42352449388137
25,48.083547442381175
26,48.08354744238119
27,85.60562650014808
28,47.05591903144859
29,92.44119424444933
30,169.01392637934924
31,125.59492344645939
32,47.05591903144859
33,169.01392637934921
34,92.4411942444493
35,125.59492344645942
36,125.34306707047496
37,125.34306707047496
38,120.70828128842035
39,87.42352449388137
40,48.083547442381175
41,48.083547442381246
42,87.42352449388149
43,48.083547442381224
44,92.44119424444929
45,169.01392637934924
46,125.34306707047494
47,48.08354744238127
48,169.01392637934924
49,92.44119424444929
50,125.34306707047494
51,125.59492344645945
52,125.5949234464595
53,120.70828128842042
54,85.60562650014802
55,47.05591903144858
56,47.05591903144858
57,87.42352449388146
58,48.083547442381224
59,92.44119424444932
60,169.0139263793493
61,125.34306707047499
62,48.08354744238128
63,169.01392637934927
64,92.4411942444493
65,125.34306707047496
66,125.59492344645942
67,125.59492344645948
68,120.70828128842038
69,85.60562650014802
70,47.05591903144858
71,47.05591903144858
