,length
0,[1.8796681  1.87729438 1.87707162 1.88277348]
1,[1.87844197 1.88459866 1.8800941  1.86904704]
2,[1.87729438 1.8796681  1.88277348 1.87707162]
3,[1.86904704 1.8800941  1.88459866 1.87844197]
4,[1.88277348 1.87707162 1.87729438 1.8796681 ]
5,[1.89015735 1.89015735 1.86941606 1.86941606]
6,[1.8800941  1.86904704 1.87844197 1.88459866]
7,[1.86941606 1.86941606 1.89015735 1.89015735]
8,[1.87707162 1.88277348 1.8796681  1.87729438]
9,[1.88459866 1.87844197 1.86904704 1.8800941 ]
10,[1.88273223 1.88273223 1.87271482 1.87271482]
11,[1.87271482 1.87271482 1.88273223 1.88273223]
