,angle
0,95.86069913082872
1,84.13930086917127
2,180.0
3,180.0
4,84.13930086917125
5,95.86069913082876
6,95.86069913082875
7,84.13930086917127
8,180.0
9,180.0
10,84.13930086917125
11,95.86069913082872
12,95.86069913082873
13,84.13930086917127
14,180.0
15,180.0
16,84.13930086917127
17,95.86069913082872
18,95.86069913082872
19,84.13930086917127
20,180.0
21,180.0
22,84.13930086917127
23,95.86069913082875
24,81.06779565866456
25,96.87619394067154
26,177.94398959933602
27,177.94398959933602
28,96.87619394067153
29,85.17981645999237
30,85.17981645999237
31,96.87619394067157
32,177.9439895993362
33,177.9439895993362
34,96.87619394067156
35,81.06779565866451
