,angle
0,90.01583005543216
1,90.01574762687274
2,178.09510430783644
3,178.0951021054448
4,90.01561448871492
5,90.01613356805817
6,90.01574762687267
7,90.01583005543218
8,178.09510430783644
9,178.095102105445
10,90.01613356805817
11,90.01561448871495
12,92.94308492826691
13,92.9430849282669
14,180.0
15,174.1138301434662
16,87.05691507173309
17,87.0569150717331
18,174.1138161744792
19,87.0567424120757
20,92.94325758792428
21,87.05707376240362
22,92.9429262375964
23,180.0
24,174.11381617447927
25,87.05674241207568
26,92.94325758792432
27,87.0570737624036
28,92.94292623759638
29,180.0
30,92.9430849282669
31,174.1138301434662
32,87.05691507173306
33,92.94308492826693
34,180.0
35,87.05691507173312
