,length
0,[1.94251233 1.95388268 1.94251233 1.95388268]
1,[1.95226497 1.95226497 1.95226497 1.95226497]
2,[1.95353757 1.95353757 1.95353757 1.95353757]
3,[1.94155503 1.95275973 1.94155503 1.95275973]
4,[1.94155503 1.95275973 1.94155503 1.95275973]
5,[1.94634818 1.94634818 1.94634818 1.94634818]
6,[1.94616456 1.94616456 1.94616456 1.94616456]
7,[1.95388268 1.94251233 1.95388268 1.94251233]
8,[1.95388268 1.94251233 1.95388268 1.94251233]
9,[1.94251233 1.95388268 1.94251233 1.95388268]
10,[1.95275973 1.94155503 1.95275973 1.94155503]
11,[1.94634818 1.94634818 1.94634818 1.94634818]
12,[1.95275973 1.94155503 1.95275973 1.94155503]
13,[1.94616456 1.94616456 1.94616456 1.94616456]
14,[1.95226497 1.95226497 1.95226497 1.95226497]
15,[1.95353757 1.95353757 1.95353757 1.95353757]
