,angle
0,90.0
1,90.0
2,89.99962041250917
3,90.00037958749083
4,180.0
5,180.0
6,90.0
7,90.0
8,90.0
9,90.0
10,90.0
11,90.0
12,180.0
13,90.0003795874908
14,89.9996204125092
15,90.0
16,90.0
17,180.0
18,90.00032829305091
19,89.99967170694909
20,180.0
21,90.0
22,90.0
23,90.0
24,90.0
25,90.0
26,90.0
27,89.99967170694909
28,90.00032829305091
29,180.0
30,90.0
31,90.0
32,89.99962041250919
33,90.00037958749081
34,180.0
35,180.0
36,89.99999999999999
37,90.00000000000001
38,90.0
39,90.00000000000001
40,89.99999999999999
41,90.0
42,180.0
43,90.00037958749077
44,89.99962041250923
45,90.0
46,90.0
47,180.0
48,90.000328293051
49,89.999671706949
50,179.99999914622634
51,90.00000000000001
52,90.00000000000001
53,89.99999999999999
54,90.0
55,89.99999999999996
56,90.00000000000004
57,89.99967170694903
58,90.00032829305097
59,180.0
