,angle
0,91.5137264289421
1,176.62037970389588
2,88.47713705909906
3,89.35996850049217
4,91.5137264289421
5,179.29429093192522
6,85.87403162379361
7,88.47713705909906
8,89.35996850049217
9,93.42025930813095
10,89.35996850049216
11,176.62037970389588
12,88.47713705909904
13,91.51372642894212
14,89.35996850049216
15,93.42025930813094
16,85.87403162379358
17,88.47713705909904
18,91.51372642894212
19,179.2942909319247
20,91.5137264289421
21,89.35996850049216
22,88.47713705909905
23,176.62037970389588
24,85.87403162379358
25,179.29429093192576
26,91.5137264289421
27,93.42025930813095
28,89.35996850049216
29,88.47713705909905
30,176.62037970389588
31,88.47713705909906
32,89.35996850049217
33,91.5137264289421
34,88.47713705909906
35,89.35996850049217
36,91.5137264289421
37,93.42025930813095
38,179.29429093192522
39,85.87403162379361
