,length
0,[2.0772064  1.96652498 1.94257047 1.94664637]
1,[1.89284531 1.92146207 1.90228149 1.88229142 2.45429108 2.45984912]
2,[2.04768641 1.93976067 1.95703932 1.92075959]
3,[1.92478432 1.95698981 1.93661173 2.04542165]
4,[1.87898737 1.92406016 1.95568029 2.45212407 1.89631234 2.40598613]
5,[1.95338295 1.94851348 1.95193918 2.05867398]
6,[1.96153562 1.94370154 2.01791789 2.10008601]
7,[2.40768354 1.89125913 2.46198649 1.94854985 1.94167954 1.8841066 ]
8,[2.45332163 1.89165599 2.46455969 1.90552139 1.90392822 1.88351351]
9,[1.97328009 2.04199042 2.02033314 1.90822137]
10,[1.93997337 2.01970664 2.03082456 1.97080794]
11,[1.88158262 1.93421226 1.93624371 2.43897829 2.43202342 1.89370294]
12,[1.88772504 2.47112392 2.42368295 1.93010298 1.94717774 1.8876134 ]
13,[2.0691867  2.00413335 1.92645553 1.97113004]
