,angle
0,93.74672967635927
1,90.76595715782797
2,86.25327032364073
3,180.0
4,89.23404284217203
5,89.23404284217203
6,180.0
7,86.25327032364073
8,90.76595715782796
9,90.76595715782797
10,89.23404284217203
11,180.0
12,93.74672967635927
13,89.23404284217204
14,90.76595715782797
15,93.74672967635927
16,86.25327032364072
17,90.76595715782797
18,89.23404284217203
19,180.0
20,180.0
21,89.23404284217203
22,90.76595715782797
23,86.25327032364072
24,90.76595715782796
25,89.23404284217204
26,93.7467296763593
27,180.0
28,89.23404284217204
29,90.76595715782796
