,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,total_magnetization,material_id,oxide_type,tags,elasticity
0,-213.77097477,-5.34427436925,939.9864436293609,0.0791162857499998,40,{'Si': 40.0},Si,False,['Si'],1,0.07911628575000051,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6/mmm', 'number': 191, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6 2'}","['mp-1196961', 'mp-1349536', 'mp-1683875']",1.1284,1.9845847893263202,0.0,mp-1196961,None,['Silicon'],
1,-10.84678131,-5.423390655,40.88829284866483,0.0,2,{'Si': 2.0},Si,False,['Si'],1,0.0,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fd-3m', 'number': 227, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': 'F 4d 2 3 -1d'}","['mp-655585', 'mp-656511', 'mp-655936', 'mp-11721', 'mp-149', 'mp-1057373', 'mp-1057366', 'mp-1057380', 'mp-1057384', 'mp-1059585', 'mp-1059589', 'mp-1059603', 'mp-1059604', 'mp-1120258', 'mp-1120259', 'mp-1141021', 'mp-1248038', 'mp-1440634', 'mp-1594776', 'mp-1592727', 'mp-1686587']",0.8526999999999996,2.2811942835376744,0.0,mp-149,None,"['Silicon hydride (1/0.5)', 'Silicon (O-doped)', 'High pressure experimental phase', 'Silicon', 'Silicon - diamond phase', 'Silicon - cubic diamond form', 'Silicon - type I-clathrate']","{'G_Reuss': 59.0, 'G_VRH': 61.0, 'G_Voigt': 63.0, 'G_Voigt_Reuss_Hill': 61.0, 'K_Reuss': 83.0, 'K_VRH': 83.0, 'K_Voigt': 83.0, 'K_Voigt_Reuss_Hill': 83.0, 'elastic_anisotropy': 0.3, 'elastic_tensor': [[144.0, 53.0, 53.0, 0.0, 0.0, 0.0], [53.0, 144.0, 53.0, 0.0, 0.0, 0.0], [53.0, 53.0, 144.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 75.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 75.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 75.0]], 'homogeneous_poisson': 0.2, 'poisson_ratio': 0.2, 'universal_anisotropy': 0.3, 'elastic_tensor_original': [[143.59662611419026, 52.716249956207186, 52.716249956207186, 0.0, 0.0, 0.0], [52.71618474461329, 143.59655595135587, 52.71618474461329, 0.0, 0.0, 0.0], [52.71625019134147, 52.71625019134147, 143.59655898700666, 0.0, 0.0, 0.0], [-0.0006856267559438911, -0.0006126217518273736, -0.001050410159174148, 74.67536771330981, 0.0, 0.0], [0.0004921750872145198, 0.0004755034221185144, 0.0009776151709707706, 0.0, 74.67620832804741, 0.0], [0.0003213883716915868, 0.0006489600881952788, 0.00028623002218141827, 0.0, 0.0, 74.67380385414108]], 'compliance_tensor': [[8.7, -2.3, -2.3, 0.0, -0.0, 0.0], [-2.3, 8.7, -2.3, -0.0, 0.0, -0.0], [-2.3, -2.3, 8.7, -0.0, -0.0, 0.0], [0.0, -0.0, -0.0, 13.4, -0.0, 0.0], [-0.0, 0.0, -0.0, -0.0, 13.4, -0.0], [0.0, -0.0, 0.0, 0.0, -0.0, 13.4]], 'warnings': [], 'nsites': 2}"
2,-31.21751653,-5.2029194216666665,152.54761526236106,0.22047123333333415,6,{'Si': 6.0},Si,False,['Si'],1,0.22047123333333385,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Im-3m', 'number': 229, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-I 4 2 3'}","['mp-1072562', 'mp-1072548', 'mp-1072560', 'mp-1072544', 'mp-1249703', 'mp-1386889', 'mp-1628299', 'mp-1760516']",0.19090000000000007,1.8343283783801498,0.0,mp-1072544,None,['Silicon'],
3,-556.12185185,-5.2464325646226415,2509.4558186085123,0.17695809037735874,106,{'Si': 106.0},Si,False,['Si'],1,0.17695809037735888,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4_2/nmc', 'number': 137, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'P 4n 2n -1n'}","['mp-1204046', 'mp-1337637']",0.15080000000000027,1.9699607295619062,0.0012328056603773585,mp-1204046,None,['Silicon'],
4,-510.85665124,-5.1085665124,1921.073773247272,0.3148241426000004,100,{'Si': 100.0},Si,False,['Si'],1,0.3148241426,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244971'],0.0030999999999998806,2.4276563765774433,0.0,mp-1244971,None,['Amorphous'],
5,-122.90454521,-5.3436758786956515,515.3800565891875,0.07971477630434821,23,{'Si': 23.0},Si,False,['Si'],1,0.07971477630434887,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I-43m', 'number': 217, 'point_group': '-43m', 'crystal_system': 'cubic', 'hall': 'I -4 2 3'}","['mp-971663', 'mp-971661', 'mp-971665', 'mp-971667', 'mp-1118350', 'mp-1120443', 'mp-1249127', 'mp-1376169']",1.3398000000000003,2.081284666045754,1.5521739130434783e-06,mp-971661,None,[],"{'G_Reuss': 47.0, 'G_VRH': 47.0, 'G_Voigt': 47.0, 'G_Voigt_Reuss_Hill': 47.0, 'K_Reuss': 79.0, 'K_VRH': 79.0, 'K_Voigt': 79.0, 'K_Voigt_Reuss_Hill': 79.0, 'elastic_anisotropy': 0.01, 'elastic_tensor': [[146.0, 46.0, 46.0, 0.0, 0.0, 0.0], [46.0, 146.0, 46.0, 0.0, 0.0, 0.0], [46.0, 46.0, 146.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 45.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 45.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 45.0]], 'homogeneous_poisson': 0.25, 'poisson_ratio': 0.25, 'universal_anisotropy': 0.01, 'elastic_tensor_original': [[146.15551790951082, 45.667683557858446, 45.667683557858446, 0.0, 0.0, 0.0], [45.667390073265736, 146.1561427871036, 45.667390073265736, 0.0, 0.0, 0.0], [45.65773908868648, 45.65773908868648, 146.17563546264833, 0.0, 0.0, 0.0], [3.036333654808164e-05, 3.570333636225159e-05, 1.5563334265597078e-05, 45.3676132554254, 0.0, 0.0], [-3.682000227381488e-05, -3.057667033118341e-05, -1.5860000196851325e-05, 0.0, 45.367609198766075, 0.0], [5.366660532189843e-07, 6.666666328704919e-07, -5.099991970933358e-07, 0.0, 0.0, 45.36752226208886]], 'compliance_tensor': [[8.0, -1.9, -1.9, 0.0, -0.0, -0.0], [-1.9, 8.0, -1.9, 0.0, 0.0, 0.0], [-1.9, -1.9, 8.0, -0.0, 0.0, 0.0], [0.0, 0.0, -0.0, 22.0, -0.0, -0.0], [-0.0, 0.0, 0.0, -0.0, 22.0, -0.0], [-0.0, 0.0, 0.0, -0.0, -0.0, 22.0]], 'warnings': [], 'nsites': 23}"
6,-29.82945416,-4.9715756933333335,99.24401665375905,0.4518149616666675,6,{'Si': 6.0},Si,False,['Si'],1,0.4518149616666669,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}","['mp-1120747', 'mp-1394302', 'mp-1624400', 'mp-1734520']",0.0,2.8195394459517473,1.8116666666666665e-05,mp-1120747,None,[],
7,-63.94842955,-5.329035795833334,263.71258454628094,0.09435485916666764,12,{'Si': 12.0},Si,False,['Si'],1,0.09435485916666675,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}","['mp-1095269', 'mp-1095376', 'mp-1504678', 'mp-1601359', 'mp-1698650']",0.6206000000000005,2.1221772196529938,5.333333333333333e-07,mp-1095269,None,['Silicon'],
8,-434.30838375,-5.296443704268293,1915.4567916190576,0.12694695073170761,82,{'Si': 82.0},Si,False,['Si'],1,0.1269469507317078,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/c', 'number': 15, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2yc'}","['mp-1199894', 'mp-1335912']",0.9984999999999999,1.996515793539283,7.195121951219513e-08,mp-1199894,None,['Silicon'],
9,-39.97924997,-4.99740624625,116.89321424262552,0.42598440875000065,8,{'Si': 8.0},Si,False,['Si'],1,0.42598440875000065,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmce', 'number': 64, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2bc 2'}","['mp-1079649', 'mp-1080011', 'mp-1504492', 'mp-1592107', 'mp-1672631']",0.0,3.1917726110734614,8.8875e-06,mp-1079649,None,"['Silicon - VI', 'High pressure experimental phase']",
