,angle
0,79.49124625556898
1,140.22076101064664
2,103.86149966777161
3,176.57732763805248
4,140.22076616267753
5,176.57732835677493
6,103.86150038641837
7,36.399336802916224
8,36.399341236302774
9,72.77772548432272
10,72.77773006570027
11,36.399337326677156
12,176.5772566589493
13,103.86149699019273
14,36.39934176006363
15,103.86149770883993
16,176.57725594022614
17,140.22075444505762
18,140.22074929302636
19,79.49123740117089
20,36.39923664305449
21,72.7775181597621
22,176.57706180559242
23,103.86147605666754
24,36.39923220968999
25,140.2206272834159
26,140.22063243547456
27,103.86147533797094
28,176.57706252436512
29,79.49149718381764
30,79.49149718381763
31,103.86147605666758
32,176.57706252436512
33,140.22063243547458
34,176.57706180559242
35,103.86147533797092
36,140.22062728341587
37,72.7775181597621
38,36.39923664305448
39,36.399232209690034
