name,none,energy_per_atom,formation_energy_per_atom,nsites,is_hubbard,elements,nelements,e_above_hull,spacegroup,band_gap,density,total_magnetization,oxide_type,elasticity,angle,length,nn_sites
K2CuF4,0,-4.277134836428571,-2.5625341079657145,28,False,"['Cu', 'F', 'K']",3,0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4_1/acd', 'number': 142, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': 'I 4bw 2aw -1bw'}",0.4628,3.1838198231033035,0.982822525,None,,89.99962041250917,2.0589041133333335,6.0
KCuF3,0,-4.2714094739999995,-2.377158270314,5,False,"['K', 'Cu', 'F']",3,0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pm-3m', 'number': 221, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-P 4 2 3'}",0.0,3.936041074451996,1.0017173000000001,None,"{'G_Reuss': 29.0, 'G_VRH': 30.0, 'G_Voigt': 30.0, 'G_Voigt_Reuss_Hill': 30.0, 'K_Reuss': 67.0, 'K_VRH': 67.0, 'K_Voigt': 67.0, 'K_Voigt_Reuss_Hill': 67.0, 'elastic_anisotropy': 0.03, 'elastic_tensor': [[102.0, 49.0, 49.0, 0.0, 0.0, 0.0], [49.0, 102.0, 49.0, 0.0, 0.0, 0.0], [49.0, 49.0, 102.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 32.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 32.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 32.0]], 'homogeneous_poisson': 0.31, 'poisson_ratio': 0.31, 'universal_anisotropy': 0.03, 'elastic_tensor_original': [[106.53825710742632, 53.006248812557025, 53.006248812557025, 0.0, 0.0, 0.0], [49.04948563403523, 103.22482392272707, 49.04948563403523, 0.0, 0.0, 0.0], [44.3123828857614, 44.3123828857614, 96.88066018677453, 0.0, 0.0, 0.0], [-1.0796505099391698, -1.11532468444043, -1.1087114386625485, 31.69478358275524, 0.0, 0.0], [0.0769419288895367, 0.06474609156757184, 0.06460575644496348, 0.0, 31.702533271192678, 0.0], [-0.5599288992004678, -1.3570127068178315, -1.0527322814749303, 0.0, 0.0, 31.62808155159708]], 'compliance_tensor': [[14.146894651727772, -4.570861219623628, -4.570861219623636, 4.068679899460826e-18, -4.132107950304097e-18, 6.059993354579699e-19], [-4.570861219623627, 14.146894651727774, -4.570861219623629, 1.3350839495391837e-18, 1.3350839495391833e-18, -2.469296108203875e-18], [-4.5708612196236365, -4.570861219623629, 14.146894651727772, -6.865703900225734e-18, 1.3350839495391864e-18, 2.6429984171776526e-19], [4.068679899460826e-18, 1.3350839495391831e-18, -6.8657039002257324e-18, 31.5705069416993, -1.1884038846469571e-36, -2.7295451714524473e-38], [-4.132107950304097e-18, 1.3350839495391833e-18, 1.3350839495391858e-18, -1.188403884646957e-36, 31.57050694169932, -1.7700383961076954e-37], [6.0599933545797e-19, -2.4692961082038754e-18, 2.6429984171776545e-19, -2.729545171452454e-38, -1.7700383961076958e-37, 31.570506941699314]], 'warnings': [], 'nsites': 5}",90.0,2.034292,6.0
CuSb2O6,0,-5.852087063888888,-1.6486205469444444,18,False,"['Cu', 'O', 'Sb']",3,0.0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P4_2/mnm', 'number': 136, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-P 4n 2n'}",0.0,6.359223720198138,0.82361125,oxide,,78.58358191523448,2.0778247833333334,6.0
LiCu2O2,0,-4.958047945,-1.2383145188333329,20,False,"['Cu', 'Li', 'O']",3,0.004623961500000107,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}",0.0,5.30034763433396,0.9999724,oxide,,87.59428942013044,1.998188475,4.0
Cs2CuCl4,0,-3.272732128214286,-1.7148156537717243,28,False,"['Cl', 'Cs', 'Cu']",3,0,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnma', 'number': 62, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2ac 2n'}",0.3837,3.2581715258721373,1.0016976,None,,97.8359610163782,2.2610733375,4.0
SrCu2(BO3)2,0,-6.713488172727272,-2.2843364737121203,22,False,"['B', 'Cu', 'O', 'Sr']",4,0.05453674681818388,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mcm', 'number': 140, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2c'}",0.0,3.887595811638607,0.00042415,oxide,,36.485031193129814,2.030293932,5.0
Cu3BiO2(SeO3)2Cl,0,-5.081631088,-1.188628816529834,30,False,"['Bi', 'Cl', 'Cu', 'O', 'Se']",5,0.023870630916672297,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pmmn', 'number': 59, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': 'P 2 2ab -1ab'}",0.0,5.218942188985635,0.27944235,oxide,,81.06779565866451,1.9712507949999998,4.0
Cu2OSeO3,0,-5.1473459096428575,-1.0506335249776788,56,False,"['Cu', 'O', 'Se']",3,0.014324768392851794,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_13', 'number': 198, 'point_group': '23', 'crystal_system': 'cubic', 'hall': 'P 2ac 2ab 3'}",0.2421000000000002,4.869702016396596,1.0086176875,oxide,,75.4167809655359,2.05108287,5.0
Cu3Mo2O9,0,-6.178289470714287,-1.5255837915178572,28,True,"['Cu', 'Mo', 'O']",3,0.03498419749999737,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-1', 'number': 2, 'point_group': '-1', 'crystal_system': 'triclinic', 'hall': '-P 1'}",0.0,4.524806245306848,0.005231,oxide,,80.25897025987784,1.94715868,4.0
Cu3(CO3)2(OH)2,0,-6.1001804696666655,-1.3537833548159994,30,False,"['C', 'Cu', 'H', 'O']",4,0.01626424933333404,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/c', 'number': 14, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2ybc'}",0.0,3.569560923456768,1.48639935,hydroxide,,82.38264716701488,1.9852587224999996,4.0
CuGeO3,0,-5.9048465085,-1.6141035672499997,80,False,"['Cu', 'Ge', 'O']",3,0.019522037500001588,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmce', 'number': 64, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2bc 2'}",0.0,4.710947120363704,4.6875e-05,oxide,,78.65176117759859,1.948197505,4.0
