,angle
0,92.2216712818219
1,91.70546491496869
2,85.7416874877578
3,83.52972289073857
4,176.32929817366252
5,82.12279741775062
6,100.40816489682857
7,175.13495914515326
8,85.78261047313228
9,176.45922142981507
10,95.59813111693275
11,84.97404051847923
12,81.68884970670244
13,97.64212624251631
14,98.3298941314771
15,81.68884970670244
16,97.64212624251631
17,85.74168748775779
18,100.40816489682857
19,176.45922142981536
20,98.32989413147709
21,83.52972289073855
22,175.1349591451534
23,95.59813111693275
24,176.32929817366235
25,85.7826104731323
26,84.97404051847924
27,92.22167128182191
28,91.7054649149687
29,82.12279741775062
30,82.12279741775063
31,91.70546491496873
32,84.97404051847921
33,95.59813111693272
34,176.45922142981516
35,92.22167128182193
36,85.7826104731323
37,175.1349591451534
38,100.40816489682861
39,176.32929817366235
40,83.52972289073857
41,85.74168748775783
42,98.32989413147705
43,97.64212624251626
44,81.68884970670243
45,98.3298941314771
46,97.64212624251633
47,84.97404051847923
48,85.78261047313231
49,176.32929817366252
50,81.68884970670246
51,95.59813111693272
52,175.1349591451534
53,83.52972289073853
54,176.45922142981527
55,100.4081648968286
56,85.7416874877578
57,82.12279741775062
58,91.70546491496869
59,92.2216712818219
