,angle
0,92.8455569179582
1,83.05155184506013
2,174.09113031562936
3,95.22783333795105
4,88.69499099046676
5,92.42500542213668
6,83.05155184506012
7,85.34239807803179
8,177.11987978639453
9,92.84555691795819
10,177.11987978639453
11,85.34239807803178
12,88.69499099046675
13,95.22783333795104
14,96.94595935338583
15,96.94595935338582
16,95.22783333795103
17,85.34239807803178
18,177.11987978639453
19,88.69499099046675
20,88.69499099046674
21,177.1198797863948
22,85.34239807803178
23,95.22783333795103
24,92.84555691795822
25,83.05155184506016
26,174.0911303156294
27,92.42500542213669
28,83.05155184506015
29,92.84555691795822
