,length
0,[2.02124709 1.9143458  1.8517117  1.96515968 1.74499794]
1,[1.85939651 1.95338669 1.780976   1.91061577 1.84208073]
2,[1.78388807 1.77176741 1.74254625 1.8020814 ]
3,[1.90317928 1.98441711 1.85868747 1.75673478 1.90552046]
4,[1.74795784 1.79336423 1.7440111  1.77704329]
5,[1.87216594 1.89331563 1.91004292 1.76020536 1.81299083]
6,[1.83065161 1.87458693 1.79607425 1.93280767 1.87823489]
7,[1.79056347 1.76514155 1.80991404 1.76351973]
8,[1.87881107 1.80637418 1.81265765 1.97962318]
9,[1.76626949 1.76076491 1.80979487 1.85452161]
10,[1.7912931  1.86003308 1.78721854 1.80997746]
11,[1.81696317 2.02181659 1.84005262 1.8292985  1.81829251]
12,[2.04263409 1.78248067 1.86933551 1.87941664 1.81229517]
13,[1.86641843 1.89683499 1.92658067 1.85039359 1.91195627]
14,[1.86410881 1.92939641 2.34605279 1.99984807 1.76993374 2.16060878]
15,[1.82546013 1.82490218 2.02469275 1.97763232 1.81083091]
16,[1.73138917 1.76584753 1.88545576 1.7723541 ]
17,[1.85225848 1.76873138 1.74357668 1.86006764]
18,[1.8155182  1.9207256  1.86659993 2.07714164 1.78612388]
19,[1.73773024 1.76927572 1.78346234 1.77826772]
20,[1.84901719 2.05810121 1.85263522 1.83351976 1.91156165]
21,[1.80604295 1.8209615  1.82546159 1.82684841]
22,[1.82082945 1.78460089 1.85943802 1.74043948]
23,[1.98040187 1.89496055 1.83673251 1.97050869 1.99633944 2.01259306]
24,[1.81613046 2.05180783 2.28974197 1.7869583  1.77929994]
25,[1.79375253 1.77786112 1.7604743  1.76090142]
26,[1.70646861 1.7825037  1.87927091 1.84501358]
27,[1.79124595 1.81717406 1.80559877 1.74788196]
28,[1.79555441 1.77450645 1.69931911 1.81561582]
29,[1.76549715 1.81391135 1.89932382 1.75013342]
30,[1.72132797 1.73935581 1.73388097 1.70582024]
31,[1.83898503 1.98916452 1.81978455 1.87053279 1.98787976]
32,[1.84092307 1.77382899 1.92220276 1.86265543 1.82967006]
33,[1.85396723 1.87816113 2.05616659 1.94982858 2.16969822 2.19851525]
34,[1.7556743  1.74036148 1.84727487 1.75816356]
35,[1.94816234 1.8483303  1.83184213 1.8959672  1.9578825 ]
36,[1.90051122 1.77975957 1.84982125 1.84798169]
37,[1.81632887 1.85443871 1.79474492 2.08970816 1.80066945]
38,[1.81402066 1.87457868 1.71785727 1.8711169 ]
39,[1.81926614 1.75304259 1.79789578 1.77951135]
