,angle
0,108.94024738203765
1,108.94036088283431
2,109.99710916308378
3,108.94019861317359
4,109.99710844855352
5,109.99705734533232
6,109.99705734533228
7,109.99710844855356
8,109.9971091630838
9,108.94019861317359
10,108.94036088283431
11,108.94024738203763
12,108.94024738203763
13,108.94036088283434
14,109.99710916308382
15,108.9401986131736
16,109.99710844855353
17,109.99705734533225
18,109.99705734533235
19,109.99710844855358
20,109.99710916308378
21,108.94019861317356
22,108.9403608828343
23,108.94024738203757
