,angle
0,92.63655963168867
1,94.38979061214053
2,89.5459917609827
3,91.89595557179062
4,179.42290095259617
5,85.89424666523873
6,92.45732584931945
7,174.67954666207046
8,87.8726911170932
9,175.79568036719866
10,90.98302988984341
11,85.91607842061377
12,90.36283322769448
13,90.16102745894567
14,87.60865496168941
15,87.57115623207936
16,90.40268041754253
17,85.72335301025167
18,87.71420029464511
19,179.13228266310037
20,90.65122314335302
21,90.62147380516376
22,173.89210183044833
23,91.93086725671837
24,175.86747866716166
25,93.26288566716639
26,90.31351897846643
27,85.15608129688073
28,93.57283442624028
29,92.73410919983073
