,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,total_magnetization,material_id,oxide_type,tags,elasticity
0,-109.01006974,-9.084172478333334,68.50398472011051,0.14259734166666505,12,{'C': 12.0},C,False,['C'],1,0.14259734166666505,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P6_3/mmc', 'number': 194, 'point_group': '6/mmm', 'crystal_system': 'hexagonal', 'hall': '-P 6c 2c'}","['mp-670091', 'mp-688473', 'mp-660444', 'mp-611448', 'mp-1386514', 'mp-1619946', 'mp-1729966']",4.427000000000001,3.493677627431383,0.0,mp-611448,None,"['Diamond 6H', 'Carbon']",
1,-13.24200761,-6.621003805,26.299025652493786,2.6057660149999995,2,{'C': 2.0},C,False,['C'],1,2.6057660149999995,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmcm', 'number': 63, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2c 2'}","['mp-1097832', 'mp-1435300', 'mp-1605683', 'mp-1675978']",0.0,1.516728173183969,0.00367045,mp-1097832,None,[],
2,-1023.52351202,-8.529362600166667,1170.3541166965347,0.6974072198333336,120,{'C': 120.0},C,False,['C'],1,0.6974072198333321,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Pnnm', 'number': 58, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-P 2 2n'}","['mp-1205283', 'mp-1365884']",0.10619999999999985,2.044943794294427,1.2916666666666667e-07,mp-1205283,None,[],
3,-67.14952989,-8.39369123625,44.86563577306569,0.8330785837499999,8,{'C': 8.0},C,False,['C'],1,0.8330785837499999,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ia-3', 'number': 206, 'point_group': 'm-3', 'crystal_system': 'cubic', 'hall': '-I 2b 2c 3'}","['mp-662138', 'mp-661410', 'mp-660680', 'mp-24', 'mp-1078371', 'mp-1430180', 'mp-1583969', 'mp-1675666']",2.778500000000001,3.5562605942940047,0.0,mp-24,None,"['Diamond', 'Octacarbon', 'Carbon', 'Carbon intermediate']","{'G_Reuss': 504.0, 'G_VRH': 504.0, 'G_Voigt': 504.0, 'G_Voigt_Reuss_Hill': 504.0, 'K_Reuss': 387.0, 'K_VRH': 387.0, 'K_Voigt': 387.0, 'K_Voigt_Reuss_Hill': 387.0, 'elastic_anisotropy': 0.01, 'elastic_tensor': [[1094.0, 34.0, 34.0, 0.0, 0.0, 0.0], [34.0, 1094.0, 34.0, 0.0, 0.0, 0.0], [34.0, 34.0, 1094.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 488.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 488.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 488.0]], 'homogeneous_poisson': 0.05, 'poisson_ratio': 0.05, 'universal_anisotropy': 0.01, 'elastic_tensor_original': [[1093.6783644517197, 34.34984322469174, 34.436845314499685, 0.0, 0.0, 0.0], [34.43671906052288, 1093.6781623097406, 34.349711650735806, 0.0, 0.0, 0.0], [34.34991688906711, 34.43688384324297, 1093.6782366750463, 0.0, 0.0, 0.0], [-3.5783255874504054e-06, 5.601669400844055e-06, -3.951661158403932e-06, 487.56511558361626, 0.0, 0.0], [7.048340785269997e-06, 6.196672270907798e-06, 4.381659503595475e-06, 0.0, 487.5651093086146, 0.0], [-1.9685005347623134e-05, 1.800331894341376e-05, 1.6454993201801464e-05, 0.0, 0.0, 487.5651030352796]], 'compliance_tensor': [[0.9161023850499027, -0.027930676733689534, -0.02793067673368954, -2.911303863390332e-26, 3.8716582187964147e-26, -1.3262654367929468e-25], [-0.027930676733689538, 0.9161023850499027, -0.02793067673368953, -1.6578317959911824e-25, -1.2534720673991501e-26, 4.0435972859203374e-27], [-0.027930676733689545, -0.02793067673368953, 0.9161023850499029, 3.922203184870416e-26, -1.662886292598585e-25, 4.043597285920339e-27], [-2.911303863390332e-26, -1.6578317959911824e-25, 3.922203184870416e-26, 2.05100812364711, -5.1514299994576845e-51, 4.2147709175607514e-51], [3.8716582187964147e-26, -1.2534720673991501e-26, -1.6628862925985851e-25, -5.151429999457685e-51, 2.051008123647112, -5.605101091823179e-51], [-1.3262654367929468e-25, 4.0435972859203374e-27, 4.043597285920339e-27, 4.2147709175607514e-51, -5.60510109182318e-51, 2.051008123647111]], 'warnings': [], 'nsites': 8}"
4,-71.68701668,-8.960877085,46.92755832753853,0.26589273499999955,8,{'C': 8.0},C,False,['C'],1,0.26589273499999955,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmmm', 'number': 65, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2 2'}","['mp-1078845', 'mp-1394956', 'mp-1627012', 'mp-1733068']",3.5883000000000003,3.4000041388062128,0.0,mp-1078845,None,['Carbon'],
5,-823.29734586,-8.2329734586,1190.3532278401408,0.9937963614,100,{'C': 100.0},C,False,['C'],1,0.9937963613999994,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P1', 'number': 1, 'point_group': '1', 'crystal_system': 'triclinic', 'hall': 'P 1'}",['mp-1244913'],0.08529999999999971,1.6754889305757434,0.0,mp-1244913,None,['Amorphous'],
6,-35.16101186,-8.790252965,26.538402471282236,0.4365168549999989,4,{'C': 4.0},C,False,['C'],1,0.4365168549999989,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmmm', 'number': 65, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2 2'}","['mp-1008374', 'mp-1065548', 'mp-1065604', 'mp-1065534', 'mp-1065565', 'mp-1434321', 'mp-1612320', 'mp-1766221']",0.0,3.0060945211445484,5.5e-07,mp-1008374,None,['Carbon'],"{'G_Reuss': 147.0, 'G_VRH': 224.0, 'G_Voigt': 302.0, 'G_Voigt_Reuss_Hill': 224.0, 'K_Reuss': 290.0, 'K_VRH': 320.0, 'K_Voigt': 350.0, 'K_Voigt_Reuss_Hill': 320.0, 'elastic_anisotropy': 5.52, 'elastic_tensor': [[494.0, 27.0, 14.0, 0.0, 0.0, 0.0], [27.0, 1102.0, 170.0, 0.0, 0.0, 0.0], [14.0, 170.0, 1134.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 500.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 117.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 55.0]], 'homogeneous_poisson': 0.22, 'poisson_ratio': 0.22, 'universal_anisotropy': 5.52, 'elastic_tensor_original': [[494.4908381038634, 27.226475529984274, 14.702693854413058, 0.0, 0.0, 0.0], [26.034723555292512, 1101.8207690659958, 168.10831609395444, 0.0, 0.0, 0.0], [13.848556689741496, 172.08276045753013, 1133.5516810696238, 0.0, 0.0, 0.0], [2.333172415897242e-08, 9.703359540517296e-06, -2.616672291869764e-06, 499.800223586954, 0.0, 0.0], [-1.855002722313885e-05, 2.518670362893949e-05, -9.123346722534874e-06, 0.0, 117.1681197838531, 0.0], [-5.150006763931496e-06, 1.7310022725961895e-05, -9.400012349020777e-07, 0.0, 0.0, 55.080554709608535]], 'compliance_tensor': [[2.025300537241204, -0.046080682771177266, -0.01859140023772827, 0.0, 0.0, -1.946576577908758e-24], [-0.046080682771177266, 0.9301600110766904, -0.13899519522432768, 0.0, 0.0, 4.428951463104978e-26], [-0.01859140023772827, -0.1389951952243277, 0.9032740928462452, 0.0, 0.0, 1.7868747668721499e-26], [0.0, 0.0, 0.0, 2.000799425064727, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 8.534744791029832, 0.0], [-1.946576577908758e-24, 4.428951463104978e-26, 1.7868747668721499e-26, 0.0, 0.0, 18.15522747133036]], 'warnings': [], 'nsites': 4}"
7,-66.26926451,-8.28365806375,84.51461006347485,0.9431117562499995,8,{'C': 8.0},C,False,['C'],1,0.9431117562499995,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Cmmm', 'number': 65, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-C 2 2'}","['mp-926899', 'mp-910617', 'mp-926381', 'mp-579909', 'mp-1445168', 'mp-1624922', 'mp-1735189']",0.0,1.8878853303336278,2.55e-06,mp-579909,None,"['Graphite', 'Carbon']",
8,-6.59184474,-6.59184474,8.195089546543116,2.6349250799999995,1,{'C': 1.0},C,False,['C'],1,2.6349250799999995,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I4/mmm', 'number': 139, 'point_group': '4/mmm', 'crystal_system': 'tetragonal', 'hall': '-I 4 2'}","['mp-1181996', 'mp-1420560', 'mp-1612597', 'mp-1671349']",0.0,2.4336813470971252,1.7e-06,mp-1181996,None,[],
9,-216.2802943,-7.724296225000001,484.87925392351025,1.502473594999999,28,{'C': 28.0},C,False,['C'],1,1.5024735949999988,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1', 'number': 4, 'point_group': '2', 'crystal_system': 'monoclinic', 'hall': 'P 2yb'}","['mp-1194362', 'mp-736441', 'mp-731594', 'mp-745252']",2.0672,1.1517065730554996,9.022857142857142e-05,mp-1194362,None,"['Phenanthrene', 'Ravatite']",
