,angle
0,108.02071182954403
1,119.95697331328195
2,120.12247659854307
3,120.12247659854314
4,119.95697331328192
5,108.02071182954403
6,119.95697331328195
7,120.12247659854305
8,108.02071182954401
9,108.02071182954401
10,120.12247659854302
11,119.95697331328189
12,119.95697331328195
13,108.02071182954404
14,120.12247659854309
15,120.12247659854314
16,108.02071182954403
17,119.95697331328192
18,119.95697331328195
19,120.12247659854305
20,108.02071182954401
21,108.02071182954401
22,120.12247659854302
23,119.95697331328189
24,108.02071182954403
25,119.95697331328195
26,120.12247659854307
27,108.02071182954403
28,120.12247659854314
29,119.95697331328192
30,119.95697331328192
31,120.12247659854305
32,108.02071182954401
33,120.12247659854302
34,119.95697331328189
35,108.02071182954401
36,120.12247659854312
37,119.95697331328195
38,108.02071182954396
39,108.02071182954396
40,119.95697331328192
41,120.12247659854307
42,108.02071182954408
43,120.12247659854305
44,119.95697331328188
45,119.95697331328195
46,120.12247659854305
47,108.02071182954407
48,120.12247659854312
49,108.02071182954396
50,119.95697331328195
51,119.95697331328192
52,108.02071182954396
53,120.12247659854307
54,108.02071182954408
55,120.12247659854307
56,119.95697331328188
57,119.95697331328195
58,120.12247659854305
59,108.02071182954406
60,120.12247659854312
61,119.95697331328195
62,108.02071182954396
63,119.95697331328192
64,120.12247659854307
65,108.02071182954396
66,108.02071182954408
67,120.12247659854305
68,119.95697331328188
69,108.02071182954407
70,119.95697331328195
71,120.12247659854305
72,120.1878903323454
73,120.09528273782841
74,107.98681610040704
75,107.98681610040704
76,120.09528273782831
77,120.18789033234545
78,107.98681610040708
79,120.1878903323454
80,120.09528273782838
81,120.09528273782837
82,120.18789033234545
83,107.98681610040708
84,120.1878903323454
85,107.98681610040704
86,120.09528273782841
87,120.09528273782831
88,107.98681610040704
89,120.18789033234545
90,107.98681610040708
91,120.1878903323454
92,120.09528273782841
93,120.09528273782837
94,120.18789033234545
95,107.98681610040708
96,120.1878903323454
97,107.98681610040704
98,120.09528273782841
99,120.09528273782831
100,107.98681610040704
101,120.18789033234545
102,107.98681610040708
103,120.1878903323454
104,120.09528273782838
105,120.09528273782837
106,120.18789033234545
107,107.98681610040708
108,107.98681610040704
109,120.09528273782838
110,120.18789033234543
111,120.18789033234543
112,120.09528273782841
113,107.98681610040704
114,120.09528273782828
115,120.18789033234545
116,107.98681610040708
117,107.98681610040708
118,120.18789033234538
119,120.09528273782838
120,120.09528273782838
121,107.98681610040704
122,120.18789033234543
123,120.18789033234545
124,107.98681610040704
125,120.09528273782841
126,120.09528273782828
127,120.18789033234545
128,107.98681610040708
129,107.98681610040708
130,120.18789033234538
131,120.09528273782838
132,120.09528273782838
133,107.98681610040704
134,120.18789033234543
135,120.18789033234545
136,107.98681610040704
137,120.09528273782841
138,120.09528273782828
139,120.18789033234545
140,107.98681610040708
141,107.98681610040708
142,120.18789033234538
143,120.09528273782838
144,120.1323632414604
145,108.01338718187716
146,119.84441522656002
147,119.84441522656005
148,120.13236324146034
149,108.0133871818772
150,119.84441522656005
151,108.01338718187726
152,120.13236324146034
153,108.01338718187719
154,120.1323632414604
155,119.84441522656007
156,108.01338718187716
157,120.1323632414604
158,119.84441522656005
159,119.84441522656002
160,120.13236324146034
161,108.0133871818772
162,108.01338718187726
163,119.84441522656005
164,120.13236324146034
165,120.13236324146042
166,119.84441522656007
167,108.0133871818772
168,120.13236324146042
169,108.01338718187716
170,119.84441522656005
171,120.13236324146034
172,119.84441522656002
173,108.0133871818772
174,108.01338718187726
175,119.84441522656005
176,120.13236324146034
177,119.84441522656007
178,108.0133871818772
179,120.13236324146042
180,119.84441522656002
181,108.01338718187723
182,120.1323632414604
183,108.0133871818773
184,120.13236324146037
185,119.84441522656005
186,120.13236324146037
187,108.01338718187715
188,119.84441522656007
189,119.84441522656005
190,120.13236324146037
191,108.01338718187715
192,119.84441522656002
193,120.1323632414604
194,108.01338718187722
195,108.0133871818773
196,120.13236324146037
197,119.84441522656005
198,120.13236324146037
199,119.84441522656007
200,108.01338718187715
201,108.01338718187715
202,119.84441522656005
203,120.13236324146037
204,119.84441522656002
205,108.01338718187723
206,120.1323632414604
207,108.0133871818773
208,119.84441522656005
209,120.13236324146037
210,120.13236324146037
211,119.84441522656007
212,108.01338718187715
213,120.13236324146037
214,108.01338718187715
215,119.84441522656005
216,119.86869012646902
217,120.12722858577908
218,108.12328884395062
219,120.12722858577902
220,108.12328884395073
221,119.86869012646899
222,108.12328884395062
223,120.12722858577901
224,119.86869012646909
225,119.86869012646905
226,108.12328884395065
227,120.12722858577908
228,119.86869012646902
229,120.12722858577908
230,108.12328884395063
231,108.12328884395073
232,120.12722858577902
233,119.86869012646899
234,120.12722858577901
235,119.86869012646909
236,108.12328884395063
237,108.12328884395065
238,119.86869012646905
239,120.12722858577908
