,length
0,[1.34802349 1.52964291 1.49403567]
1,[1.27806879 1.34802349]
2,[1.33395832 1.46722101 1.50865555]
3,[1.26769767 1.30811549]
4,[1.50810975 1.38855775 1.58508234]
5,[1.50921056 1.50447301 1.53029697 1.54762385]
6,[1.61871507 1.50512745 1.48358598 1.68521549]
7,[1.32463042 1.46749422 1.49002932]
8,[1.43634224 1.43749182 1.49840029]
9,[1.6207865  1.51702875 1.53143706 1.6768283 ]
10,[1.36564683 1.42241662 1.45602748]
11,[1.48358598 1.42241662 1.38904368]
12,[1.40359974 1.92730585 1.56207178 1.44134648]
13,[1.44134648 1.43416267 1.48767781]
14,[1.44847968 1.50865555 1.36990743]
15,[1.51249407 1.33692117 1.48514261]
16,[1.4042331  1.3498185  1.44342372]
17,[1.48372796 1.48036362 1.57703322 1.48272337]
18,[1.53029697 1.3565685  1.40359974]
19,[1.33630567 1.34960259]
20,[1.49403567 1.50420571 1.38026746]
21,[1.34746642 1.35183354]
22,[1.39771269 1.39080882]
23,[1.34963917 1.27162118]
24,[1.27656822 1.33395832]
25,[1.51149875 1.55247924 1.55133274 1.66230945]
26,[1.41589273 1.45604662 1.480976  ]
27,[1.68521549 1.29209263 1.55519142]
28,[1.45288559 1.57703322 1.53143706 1.52034948]
29,[1.37403491 1.50447301 1.51811676]
30,[1.47115036 1.48036362 1.37633503]
31,[1.44955426 1.50573842 1.3498185 ]
32,[1.50301671 1.3591927  1.47677871]
33,[1.47450413 1.49145393 1.3864588 ]
34,[1.50790152 1.36124936 1.48689993]
35,[1.58508234 1.51249407 1.52964291 1.50790152]
36,[1.4345393  1.48607501 1.37403491]
37,[1.37771795 1.26769767]
38,[1.36990743 1.47421288 1.51216096]
39,[1.51472304 1.5447831  1.34963917]
40,[1.38026746 1.5034822  1.50921056]
41,[1.26635134 1.35393849]
42,[1.51461191 1.5796279  1.3404648 ]
43,[1.27162118 1.3591927 ]
44,[1.33692117 1.27656822]
45,[1.48767781 1.49031591 1.39179191]
46,[1.52034948 1.51811676 1.54559267 1.58797768]
47,[1.3578855 1.3697358]
48,[1.38904368 1.95645434 1.52431706]
49,[1.40410234 1.48310514 1.4406945 ]
50,[1.54762385 1.3565685  1.38599234]
51,[1.30811549 1.26635134]
52,[1.37099308 1.50512745 1.51461191]
53,[1.37878039 1.48310514 1.46287751]
54,[1.30389435 1.55247924 1.4042331 ]
55,[1.35241304 1.44966932 1.47450413]
56,[1.43317081 1.48607501 1.36564683]
57,[1.48514261 1.37878039 1.43634224]
58,[1.34960259 1.50420571 1.4345393 ]
59,[1.48272337 1.31950809 1.45953639]
60,[1.49002932 1.4144166  1.42774567]
61,[1.44139982 1.47202169 1.37099308]
62,[1.35183354 1.47466054 1.50301671]
63,[1.6768283  1.58797768 1.56207178 1.50936462]
64,[1.5034822  1.5447831  1.34746642]
65,[1.35393849 1.55133274 1.50810975]
66,[1.46674818 1.46287751 1.35241304]
67,[1.42774567 1.4406945  1.44847968]
68,[1.29209263 1.31950809]
69,[1.44342372 1.50573842 1.48372796 1.45288559]
70,[1.48689993 1.49840029 1.49377644 1.51472304]
71,[1.45877338 1.49031591 1.38323186]
72,[1.46749422 1.40410234]
73,[1.47677871 1.38855775 1.52712691]
74,[1.3404648  1.27806879]
75,[1.3697358  1.43749182 1.6207865 ]
76,[1.51502621 1.37771795 1.39771269]
77,[1.48920624 1.44955426 1.43317081]
78,[1.3864588  1.47202169 1.39821341]
79,[1.38323186 1.44966932 1.44139982]
80,[1.59639397 1.52615166 1.3578855 ]
81,[1.46722101 1.39080882 1.38045219]
82,[1.50936462 1.39850678 1.43416267]
83,[1.55519142 1.66230945 1.5796279  1.59639397]
84,[1.29879562 1.32463042]
85,[1.47421288 1.49145393 1.37864018]
86,[1.38599234 1.4144166  1.51502621]
87,[1.45602748 1.52431706 1.29879562]
88,[1.39179191 1.48920624 1.61871507]
89,[1.38045219 1.35163086]
90,[1.52615166 1.45604662 1.46674818]
91,[1.45953639 1.54559267 1.41589273]
92,[1.35163086 1.51216096 1.47466054]
93,[1.480976   1.39850678 1.45877338]
94,[1.37633503 1.49377644 1.51702875]
95,[1.50754986 1.36124936 1.47115036]
96,[1.52712691 1.33630567 1.50754986]
97,[1.37864018 1.27773583]
98,[1.39821341 1.51149875 1.30389435]
