,angle
0,91.25998156295621
1,89.88989212536121
2,177.48003687408774
3,89.88989212536121
4,88.74001843704377
5,95.01378802233857
6,91.25998156295623
7,95.01378802233857
8,180.0
9,89.88989212536124
10,169.97242395532282
11,84.98621197766143
12,89.88989212536124
13,88.74001843704377
14,84.98621197766143
15,89.88989212536121
16,177.48003687408774
17,88.74001843704377
18,89.88989212536121
19,91.25998156295621
20,89.88989212536124
21,84.98621197766143
22,169.97242395532282
23,95.01378802233857
24,88.74001843704377
25,89.88989212536124
26,91.25998156295623
27,84.98621197766143
28,180.0
29,95.01378802233857
