,angle
0,88.73404161335546
1,91.26583916316626
2,88.73416083683374
3,91.26595838664454
4,180.0
5,91.27311937954624
6,88.72688062045376
7,180.0
8,91.26595838664456
9,180.0
10,88.72688062045377
11,88.73416083683375
12,91.27311937954623
13,91.26583916316626
14,88.73404161335544
15,91.27377432808424
16,91.27817087055368
17,88.72182912944633
18,88.72622567191576
19,180.0
20,88.7213979559416
21,91.27860204405837
22,180.0
23,88.72622567191576
24,179.99999879258172
25,91.27860204405839
26,88.72182912944632
27,88.72139795594163
28,91.27817087055365
29,91.27377432808424
