,length
0,[2.06455534 2.06455533 2.00003176 2.07314046]
1,[2.07720335 2.04251445 2.06559266 2.0001136  2.14716878 2.01533305]
2,[2.08129736 2.00227225 2.10839654 2.00227225 2.10839654 2.02456504]
3,[1.93860553 1.93860553 1.93621162 1.95987956]
4,[2.07720335 2.0001136  2.14716878 2.04251445 2.06559266 2.01533305]
5,"[2.02234252 3.76934909 2.99314028 3.55429725 3.73772645 3.00342034
 3.50433664 3.70129257 2.02662606 3.59565505 2.05676243 2.98460599
 3.64058502 2.08495514 3.53151007 3.6864652  2.07811097 3.03569373
 3.07069358 3.53700602 2.07727485 3.7953198  3.08731385 3.55703116
 3.73375106 3.55564227]"
6,[1.91648882 1.91648883 1.97846993 1.95132005]
7,[2.10223413 2.02566562 2.0801263  2.02566562 2.0801263  2.01582914]
8,"[3.54192047 2.03083959 3.73618407 3.49668353 3.53666263 3.71526612
 3.69416069 2.06521143 3.60609339 3.02097027 2.05137404 3.01279011
 3.0268282  3.62055566 2.079469   3.02934172 3.68485961 2.04928391
 3.02847137 3.50970754 2.05208034 3.77529108 3.53237655 3.71427062
 3.00794773 3.5270973 ]"
9,"[2.03083959 3.73618407 3.02097027 3.49668353 3.71526612 3.01279011
 3.62055566 2.079469   3.54192047 3.68485961 2.04928391 3.53666263
 3.02847137 3.69416069 3.60609339 2.06521143 3.53237655 2.05137404
 3.5270973  3.0268282  3.50970754 2.05208034 3.77529108 3.02934171
 3.71427062 3.00794773]"
10,[1.91593909 1.91593909 1.96729562 1.94226267]
11,"[2.02234252 3.76934909 2.99314028 3.73772645 3.00342034 3.50433664
 3.64058502 2.08495514 3.53151008 3.6864652  2.07811097 3.55429725
 3.07069358 3.70129257 2.02662606 3.59565505 3.55703116 2.05676243
 3.55564227 2.98460599 3.53700602 2.07727485 3.7953198  3.08731385
 3.73375106 3.03569373]"
12,"[3.5372802  2.02675555 3.75254347 3.55058634 3.72339877 3.49252283
 3.6918385  2.07599169 3.60646262 3.01526014 3.03111633 2.05662515
 3.01352359 3.613216   2.07240421 3.6798904  2.06013586 3.02418325
 3.50058299 2.04340908 3.76868648 3.0205506  3.55031889 3.73882995
 3.01347397 3.53896226]"
13,[1.95922796 1.94011578 1.9148147  1.9148147 ]
14,[1.91493093 1.91493093 1.9806971  1.94111038]
15,"[3.53062507 2.02860197 3.74757543 3.49819264 3.53541737 3.72451673
 3.69328654 2.07520246 3.60719796 3.01465685 3.02850649 2.05415308
 3.01885213 3.61602174 2.06962767 3.68126976 2.05724487 3.01406783
 3.02679308 2.04725352 3.75641599 3.02612326 3.54948786 3.50117353
 3.73715996 3.53380394]"
16,[1.94853015 1.95420002 1.92219225 1.92219225]
17,[1.90775612 1.90775612 1.97229976 1.93292473]
18,"[2.02675555 3.75254347 3.01526014 3.72339877 3.01352359 3.49252283
 3.613216   2.07240421 3.5372802  3.6798904  2.06013586 3.55058634
 3.02418325 3.6918385  3.60646262 2.07599169 3.55031889 3.03111633
 2.05662515 3.53896226 3.50058299 2.04340908 3.76868648 3.0205506
 3.73882995 3.01347397]"
19,[2.04403853 2.08222814 2.06083525 2.05982394 2.02190184 2.04464323]
20,"[2.02860197 3.74757543 3.01465685 3.49819264 3.72451673 3.01885213
 3.61602174 2.06962767 3.53062507 3.68126976 2.05724487 3.53541737
 3.02679308 3.69328655 2.07520246 3.60719796 3.54948786 3.02850649
 2.05415308 3.53380394 2.04725352 3.75641599 3.02612326 3.50117353
 3.73715996 3.01406783]"
21,[1.95025399 1.95417899 1.92138811 1.92138811]
22,[1.94938712 1.94316977 1.92285319 1.92285319]
23,[2.04403853 2.05982394 2.02190184 2.08222814 2.06083525 2.04464323]
