,length
0,[2.24753654 1.94450548 1.93149957 2.12761666]
1,[1.95904174 2.162827   2.26862082 2.06806737 2.04585455]
2,[2.01289366 2.04272829 2.00770463 1.93204239]
3,[2.29821966 1.908667   1.94001547 2.0658673 ]
4,"[2.60534911 1.99167759 2.18448394 2.67712882 2.11881806 2.4433218
 2.65491452 1.9459451 ]"
5,[2.09337875 2.06650582 1.95042894 2.07012752]
6,[2.29215561 1.9080239  1.92975899 2.00348483]
7,[2.14940514 2.45735827 1.97456109 2.59248988 1.96124391 1.94699686]
8,[1.94461051 2.01392305 2.06265677 2.00862113]
9,[1.98928494 1.90448871 1.84933023]
10,[2.12852688 1.95294726 2.04695308 1.98850709]
11,[2.02660642 2.01820697 1.94116171 2.02737057]
12,[2.03225512 2.00223074 2.08269294 2.01119294]
13,[2.09061876 1.99084438 1.94837992 1.94920791]
14,[2.0011674  1.99597051 1.9472127  2.08374311]
15,[1.89935243 2.43108263 2.56936648 1.83738863 2.07240886]
16,[1.97529167 1.94230722 2.06814686 2.03131454]
17,[2.12147612 2.03423935 1.90022369 1.97048253]
18,[2.04701532 1.90161032 1.99052675]
19,[1.96294958 1.98777403 2.02536875 2.04095716]
20,[1.94249838 2.00789503 2.08055407 1.93327188]
21,[1.8990054  1.95062794 1.8713937  1.91468215]
22,[2.02350067 2.13264787 1.98011693 2.00656097]
23,[1.98453557 1.92731995 1.90979142]
24,[2.03635391 2.16851213 2.10297752 2.21835715 1.99920354]
25,[1.95792069 2.08357742 1.98210798 2.04077401]
26,[2.04640632 2.0437555  2.01449421 2.03348585]
27,[2.01286752 1.95752801 2.04853105 1.98583867]
28,[1.99319061 2.04524384 1.97792742 2.05372672]
29,[1.97851475 1.89533242 1.92525149]
30,[1.97117851 1.95399438 1.92177213 2.12662071]
31,[1.96689004 2.16883171 1.96225947 1.97261888]
32,[1.93140801 2.08301221 1.87646121]
33,[1.95644794 1.95037637 2.02683957 2.0412956 ]
34,[1.94646253 2.01925067 1.99204292 2.07478081]
35,[1.95231478 2.03794371 2.07860272 1.98687724]
36,[2.0241614  1.83858178 1.84200962 2.02786659]
37,[2.038211   2.07135806 1.91083534 2.08304658]
38,[2.05134108 2.04987638 1.98959752 2.03715011]
39,[1.93931956 1.99420011 2.07676558]
