,angle
0,89.99480189168656
1,90.00233176336219
2,89.99766823663782
3,90.00519810831344
4,180.0
5,101.6890549788756
6,78.3109450211244
7,180.0
8,90.00519810831345
9,179.99999879258172
10,78.31094502112441
11,89.9976682366378
12,101.68905497887559
13,90.00233176336219
14,89.99480189168655
15,101.562539017442
16,89.99947644400821
17,90.00052355599178
18,78.43746098255798
19,180.0
20,89.99750317632444
21,90.00249682367556
22,179.99999879258172
23,78.43746098255797
24,180.0
25,90.00249682367554
26,90.00052355599179
27,89.99750317632446
28,89.99947644400821
29,101.56253901744205
30,90.00010805517823
31,90.00224228656023
32,89.99775771343977
33,89.99989194482177
34,180.0
35,101.6855037483638
36,78.31449625163619
37,179.99999879258172
38,89.99989194482175
39,180.0
40,78.31449625163619
41,89.99775771343975
42,101.68550374836381
43,90.00224228656023
44,90.00010805517825
45,101.56176500425876
46,89.99931833264857
47,90.00068166735143
48,78.43823499574125
49,180.0
50,90.00368002175883
51,89.99631997824116
52,180.0
53,78.43823499574121
54,180.0
55,89.99631997824116
56,90.00068166735142
57,90.00368002175885
58,89.99931833264858
59,101.56176500425879
