,angle
0,85.97464544960206
1,85.97465140199972
2,89.63769799229952
3,99.44629169533563
4,172.7825367842773
5,85.97464960588383
6,99.4462869486243
7,172.78253693498507
8,89.63770323745949
9,172.7825376476442
10,89.63769879688184
11,99.446286048254
12,85.42766415918584
13,85.42766408959697
14,85.42765921041696
15,85.4276592104169
16,85.42766408959693
17,99.446286048254
18,89.6377032374595
19,172.7825367842773
20,85.42766415918578
21,89.63769879688185
22,172.78253693498507
23,99.44629169533563
24,172.78253764764415
25,99.44628694862433
26,89.63769799229952
27,85.97464960588385
28,85.97465140199976
29,85.9746454496021
