,angle
0,93.41116506888808
1,86.58883493111192
2,93.4110557658098
3,52.3572147262558
4,86.5889442341902
5,180.0
6,127.64278527374421
7,180.0
8,86.5889442341902
9,127.64278527374421
10,93.4110557658098
11,86.58883493111192
12,52.3572147262558
13,93.4110557658098
14,52.35721472625579
15,86.5889442341902
16,93.41116506888808
17,127.64278527374422
18,127.64287746139269
19,179.99999879258172
20,86.5889442341902
21,52.357122538607314
22,52.357122538607314
23,127.64278527374422
24,180.0
25,93.4110557658098
26,127.64287746139269
27,52.35721472625579
28,93.41116506888808
29,93.4110557658098
30,86.58883493111192
31,180.0
32,127.64278527374421
33,52.3572147262558
34,86.5889442341902
35,86.5889442341902
36,180.0
37,86.58883493111192
38,52.3572147262558
39,127.64278527374421
40,93.4110557658098
41,93.4110557658098
42,86.5889442341902
43,52.357122538607314
44,127.64287746139269
45,179.99999879258172
46,93.41116506888808
47,127.64278527374421
48,52.3572147262558
49,86.58894423419018
50,52.35721472625579
51,127.64278527374422
52,93.4110557658098
53,180.0
54,127.64287746139269
55,52.357122538607314
