,angle
0,77.37204103743075
1,86.87723254008498
2,83.66295989785678
3,176.0039418272419
4,73.05858257975599
5,105.82203251197826
6,105.15041510418948
7,170.4707587256312
8,96.80380319046883
9,92.62231371312603
10,73.05858257975598
11,96.80380319046884
12,86.87723254008493
13,170.47075872563127
14,105.15041510418949
15,77.37204103743073
16,105.82203251197829
17,176.00394182724207
18,92.62231371312603
19,83.66295989785681
20,83.66295989785682
21,92.62231371312602
22,170.4707587256313
23,105.82203251197834
24,176.0039418272419
25,86.87723254008495
26,77.37204103743075
27,96.80380319046881
28,105.15041510418949
29,73.05858257975599
30,92.622313713126
31,105.1504151041895
32,96.80380319046884
33,176.00394182724207
34,105.82203251197829
35,170.4707587256313
36,83.66295989785681
37,73.058582579756
38,77.37204103743075
39,86.87723254008496
