,angle
0,96.70863152000744
1,82.38264716701488
2,169.50191562288518
3,177.3499957855893
4,92.50069592499919
5,88.19453942988974
6,96.70863152000743
7,92.50069592499923
8,177.34999578558902
9,169.50191562288524
10,82.38264716701488
11,88.19453942988972
12,88.19453942988973
13,92.50069592499919
14,169.50191562288518
15,177.34999578558902
16,82.3826471670149
17,96.70863152000744
18,88.19453942988972
19,82.3826471670149
20,177.34999578558916
21,169.50191562288515
22,92.50069592499922
23,96.70863152000746
24,92.95375081830207
25,87.04624918169793
26,179.99999914622634
27,179.99999914622634
28,87.04624918169792
29,92.95375081830208
30,92.95375081830207
31,87.04624918169792
32,180.0
33,180.0
34,87.04624918169792
35,92.9537508183021
