,length
0,[2.00510973 1.94389534 2.60485801 2.36015108 2.01072188 2.00510973]
1,[1.97994319 2.19571954 1.90742726 1.9711511  1.97994319]
2,[2.00510973 2.36015108 2.00510973 2.01072188 1.94389534 2.60485801]
3,[2.00510973 2.60485801 1.94389534 2.00510973 2.01072188 2.36015108]
4,[1.97994319 1.90742726 2.19571954 1.9711511  1.97994319]
5,[2.00510973 2.00510973 2.01072188 2.36015108 2.60485801 1.94389534]
6,[1.87225342 2.11355007 2.30782854 2.30782854 2.11355007 1.87225342]
7,[1.97994319 1.97994319 1.9711511  1.90742726 2.19571954]
8,[2.11355007 2.30782854 1.87225342 1.87225342 2.30782854 2.11355007]
9,[1.97994319 1.97994319 1.9711511  2.19571954 1.90742726]
10,[1.87225342 2.30782854 2.11355007 2.11355007 2.30782854 1.87225342]
11,[2.30782854 2.11355007 1.87225342 1.87225342 2.11355007 2.30782854]
