,angle
0,83.38159957087832
1,83.38151089962409
2,96.61840042912166
3,180.0
4,96.6184891003759
5,96.61848910037592
6,180.0
7,96.61840042912169
8,83.38151089962409
9,83.38151089962409
10,96.61848910037592
11,179.99999829245272
12,83.38159957087832
13,96.6184891003759
14,83.38151089962409
15,83.38159957087832
16,96.61840042912166
17,83.38151089962409
18,96.6184891003759
19,180.0
20,180.0
21,96.61848910037592
22,83.38151089962409
23,96.61840042912169
24,83.38151089962409
25,96.6184891003759
26,83.38159957087832
27,179.99999879258172
28,96.61848910037592
29,83.38151089962409
