,length
0,[1.95593831 1.95593831 1.95593831 1.95593831]
1,[1.95593831 1.95593831 1.95593831 1.95593831]
2,[1.95103396 1.94892066 1.95103396 1.94892066]
3,[1.94892066 1.95103396 1.94892066 1.95103396]
4,[1.94892066 1.95103396 1.94892066 1.95103396]
5,[1.95103396 1.94892066 1.95103396 1.94892066]
6,[1.95414577 1.95414577 1.95414577 1.95414577]
7,[1.95414577 1.95414577 1.95414577 1.95414577]
8,[1.94740716 1.94740716 1.94740716 1.94740716]
9,[1.94740716 1.94740716 1.94740716 1.94740716]
10,[1.94107927 1.94177994 1.94107927 1.94177994]
11,[1.94177994 1.94107927 1.94177994 1.94107927]
12,[1.94177994 1.94107927 1.94177994 1.94107927]
13,[1.94107927 1.94177994 1.94107927 1.94177994]
14,[1.94542055 1.94542055 1.94542055 1.94542055]
15,[1.94542055 1.94542055 1.94542055 1.94542055]
