,angle
0,87.68253728425287
1,91.78447599716343
2,88.21552400283656
3,92.3174627157471
4,180.0
5,90.11314336260921
6,89.88685663739079
7,180.0
8,92.31746271574711
9,179.99999879258172
10,89.88685663739079
11,88.21552400283656
12,90.11314336260921
13,91.78447599716344
14,87.6825372842529
15,90.11314336260921
16,91.78447599716345
17,88.21552400283656
18,89.88685663739079
19,179.99999879258172
20,87.6825372842529
21,92.3174627157471
22,180.0
23,89.88685663739079
24,180.0
25,92.31746271574713
26,88.21552400283656
27,87.68253728425287
28,91.78447599716343
29,90.11314336260921
30,91.78447599716344
31,90.11314336260921
32,89.88685663739079
33,88.21552400283656
34,179.99999879258172
35,87.6825372842529
36,92.31746271574711
37,180.0
38,88.21552400283656
39,180.0
40,92.31746271574711
41,89.8868566373908
42,87.68253728425289
43,90.11314336260921
44,91.78447599716344
45,87.68253728425289
46,90.11314336260921
47,89.88685663739079
48,92.31746271574711
49,180.0
50,91.78447599716344
51,88.21552400283656
52,180.0
53,92.31746271574711
54,179.99999879258172
55,88.21552400283656
56,89.88685663739079
57,91.78447599716344
58,90.11314336260921
59,87.6825372842529
