,angle
0,91.4657786221504
1,89.95157716781864
2,90.04842283218137
3,88.53422137784962
4,180.0
5,88.61618766709199
6,91.38381233290801
7,180.0
8,88.5342213778496
9,179.99999879258172
10,91.38381233290801
11,90.04842283218137
12,88.61618766709199
13,89.95157716781861
14,91.46577862215038
15,88.61618766709198
16,91.46577862215038
17,88.53422137784962
18,91.38381233290802
19,180.0
20,89.95157716781864
21,90.04842283218137
22,179.99999829245272
23,91.38381233290801
24,180.0
25,90.04842283218136
26,88.5342213778496
27,89.95157716781863
28,91.4657786221504
29,88.61618766709199
30,88.61618766709199
31,89.95157716781864
32,90.04842283218137
33,91.38381233290801
34,179.99999829245272
35,91.4657786221504
36,88.53422137784962
37,180.0
38,91.38381233290801
39,180.0
40,88.5342213778496
41,90.04842283218136
42,91.4657786221504
43,89.95157716781861
44,88.61618766709199
45,89.95157716781864
46,91.4657786221504
47,88.53422137784962
48,90.04842283218137
49,180.0
50,88.61618766709199
51,91.38381233290802
52,179.99999879258172
53,90.04842283218137
54,180.0
55,91.38381233290801
56,88.5342213778496
57,88.61618766709198
58,91.46577862215038
59,89.95157716781861
