,angle
0,79.95603573137032
1,92.4552241914868
2,156.10930121791034
3,134.52782140994978
4,79.95613252444628
5,78.05469782225293
6,69.36281402297571
7,92.4553975045095
8,101.94530217774705
9,69.3628773719184
10,79.95600507401286
11,135.23515635037538
12,65.16503846451093
13,32.58251923225547
14,135.23524074410972
15,134.52791583642937
16,147.41748076774454
17,92.45532998666913
18,79.95600507401285
19,134.52791583642934
20,101.9453966041739
21,79.95608518817744
22,156.10920679165224
23,78.05460339582609
24,69.36287737191843
25,79.95600507401285
26,78.0546033958261
27,134.52788475908685
28,92.4553299866691
29,101.9453966041739
30,135.23515635037538
31,147.41748076774456
32,65.16500738725783
33,79.95600507401285
34,32.58251923225547
35,32.58251923225546
36,135.23511200677746
37,69.36287737191844
38,147.41748076774456
39,147.4175118449295
40,101.9453966041739
41,180.0
42,79.95591792419825
43,32.58248815507051
44,78.05460339582612
45,79.95591792419825
46,135.23511200677746
47,69.3628140229757
48,79.95608518817745
49,65.16500738725783
50,32.582488155070514
51,134.52788475908685
52,135.23524074410975
53,147.4175118449295
54,69.36287737191843
55,92.45539750450953
56,156.10920679165224
57,79.95600507401285
58,78.0546033958261
59,92.4553299866691
60,134.52791583642934
61,101.9453966041739
62,79.95613252444629
63,134.52791583642934
64,135.23515635037538
65,147.41748076774456
66,79.95600507401285
67,65.1650384645109
68,32.58251923225546
69,92.45522419148679
70,134.52782140994978
71,101.94530217774707
72,156.1093012179103
73,79.95603573137032
74,78.05469782225293
75,79.95600507401284
76,78.05460339582612
77,92.4553299866691
78,69.36287737191843
79,101.94539660417388
80,32.58251923225546
81,69.36287737191844
82,135.23515635037538
83,147.41748076774456
84,101.9453966041739
85,147.41748076774456
86,180.0
87,79.95600507401285
88,78.0546033958261
89,32.58251923225546
