,angle
0,108.20920758644768
1,107.72101544321121
2,111.649107037536
3,107.72101544321117
4,111.64910703753594
5,109.7313936263284
6,107.72101544321117
7,111.64910703753598
8,108.20920758644772
9,109.73139362632837
10,107.72101544321117
11,111.64910703753598
12,109.7313936263284
13,107.7210154432112
14,107.72101544321117
15,111.649107037536
16,111.64910703753596
17,108.2092075864477
18,107.72101544321119
19,111.64910703753596
20,108.20920758644765
21,109.73139362632843
22,107.72101544321121
23,111.64910703753596
24,85.07676851300667
25,85.07676851300668
26,145.9304529477657
27,107.03477352611715
28,145.9304529477657
29,85.07676851300667
30,107.03477352611715
31,85.07676851300668
32,107.03477352611715
33,107.03477352611715
34,85.07676851300667
35,85.07676851300668
36,145.9304529477657
37,107.03477352611715
38,145.9304529477657
39,85.07676851300667
40,107.03477352611715
41,85.07676851300668
42,107.03477352611715
43,107.03477352611715
