,angle
0,92.3500229313599
1,91.05238252103395
2,175.7295824088306
3,175.7295824088306
4,91.05238252103395
5,85.43559753693843
6,92.35002293135989
7,91.05238252103398
8,175.72958240883048
9,175.7295824088306
10,91.05238252103398
11,85.43559753693839
12,85.43559753693842
13,91.05238252103396
14,175.7295824088306
15,175.7295824088306
16,91.05238252103396
17,92.35002293135989
18,85.43559753693843
19,91.05238252103393
20,175.7295824088306
21,175.7295824088306
22,91.05238252103393
23,92.3500229313599
