,length
0,[2.08229636 2.03082896 1.93102843 1.96556652]
1,[1.96191878 2.05930578 1.94757708 1.93229725]
2,[1.93229725 1.94757708 2.05930578 1.96191878]
3,[1.96556652 1.93102843 2.03082896 2.08229636]
4,[1.94757708 2.05930578 1.96191878 1.93229725]
5,[1.93229725 1.96191878 2.05930578 1.94757708]
6,[1.93102843 2.03082896 2.08229636 1.96556652]
7,[1.88292686 1.94834032 1.92811242 2.43713853 1.889007   2.46436469]
8,[2.46436469 1.889007   2.43713853 1.92811242 1.94834032 1.88292686]
9,[1.92811242 2.43713853 2.46436469 1.889007   1.88292686 1.94834032]
10,[1.94834032 1.88292686 1.889007   2.46436469 2.43713853 1.92811242]
11,[1.96556652 2.08229636 2.03082896 1.93102843]
