,angle
0,92.28793050041236
1,87.71206949958764
2,91.18850387125505
3,88.81149612874496
4,180.0
5,180.0
6,88.81149612874495
7,91.18850387125505
8,87.71206949958764
9,91.18850387125502
10,88.81149612874496
11,92.28793050041236
12,180.0
13,88.81149612874496
14,91.18850387125502
15,92.28793050041236
16,91.18850387125502
17,87.71206949958764
18,180.0
19,88.81149612874496
20,88.81149612874496
21,180.0
22,87.71206949958763
23,91.18850387125502
24,91.18850387125505
25,88.81149612874495
26,180.0
27,92.28793050041237
28,88.81149612874495
29,91.18850387125505
