,angle
0,89.43677080118012
1,90.55704615374255
2,92.21224844707442
3,87.78055583426989
4,179.44625333959144
5,179.95063285222605
6,91.06596079898691
7,89.48462020508576
8,91.11459646871509
9,88.88533453331534
10,90.56408273369603
11,88.89154293584886
12,179.44928119445618
13,87.72653161873633
14,92.27536758043676
15,89.15675074441384
16,90.73194951345823
17,179.89847785221494
18,89.15690666711481
19,90.76076314376952
20,92.18125081378255
21,90.86210746556512
22,87.8328123267548
23,179.8322833143583
24,89.16765268069939
25,179.8877606325979
26,87.67373877115146
27,90.94348701675698
28,89.2201243097497
29,92.31203393050546
