,length
0,[1.86117721 1.87965907]
1,[2.0080201  2.0080201  1.99309486 1.99309486]
2,[1.87965907 1.86117721]
3,[2.0080201  2.0080201  1.99309486 1.99309486]
4,[1.86117721 1.87965907]
5,[1.99309486 2.0080201  1.99309486 2.0080201 ]
6,[1.86117721 1.87965907]
7,[1.99309486 1.99309486 2.0080201  2.0080201 ]
8,[1.87965907 1.86117721]
9,[1.87965907 1.86117721]
10,[1.99309486 1.99309486 2.0080201  2.0080201 ]
11,[2.0080201  1.99309486 2.0080201  1.99309486]
12,[1.86117721 1.87965907]
13,[1.87965907 1.86117721]
14,[1.99309486 2.0080201  1.99309486 2.0080201 ]
15,[2.0080201  1.99309486 2.0080201  1.99309486]
