,angle
0,99.65054174079809
1,88.99546812625172
2,88.60747392460075
3,93.49496094096453
4,168.7567178439941
5,88.99546812625172
6,168.75671784399407
7,93.49496094096453
8,88.60747392460077
9,83.49589531366938
10,176.13497323646533
11,83.49589531366938
12,93.60168164468183
13,82.2532007981447
14,93.60168164468183
15,88.99546812625172
16,99.65054174079809
17,88.60747392460077
18,168.75671784399407
19,93.49496094096456
20,88.99546812625172
21,83.4958953136694
22,83.4958953136694
23,176.13497323646516
24,168.75671784399407
25,88.60747392460077
26,93.49496094096456
27,82.25320079814469
28,93.60168164468179
29,93.60168164468179
30,82.25320079814472
31,93.60168164468182
32,88.60747392460077
33,83.49589531366938
34,168.75671784399404
35,93.60168164468182
36,168.75671784399404
37,83.49589531366938
38,88.60747392460077
39,93.49496094096453
40,176.13497323646527
41,93.49496094096453
42,88.99546812625174
43,99.65054174079809
44,88.99546812625174
45,93.60168164468185
46,82.25320079814468
47,88.60747392460077
48,168.75671784399404
49,83.49589531366934
50,93.60168164468185
51,93.49496094096457
52,93.49496094096457
53,176.13497323646544
54,168.75671784399404
55,88.60747392460078
56,83.49589531366934
57,99.65054174079809
58,88.99546812625171
59,88.99546812625171
60,84.35780298234111
61,92.77936625610113
62,87.22063374389887
63,95.6421970176589
64,180.0
65,96.60353831146205
66,83.39646168853797
67,180.0
68,95.6421970176589
69,180.0
70,83.39646168853794
71,87.22063374389887
72,96.60353831146205
73,92.77936625610114
74,84.3578029823411
75,96.60353831146205
76,92.77936625610113
77,87.22063374389887
78,83.39646168853795
79,180.0
80,84.35780298234108
81,95.64219701765892
82,179.99999914622634
83,83.39646168853797
84,180.0
85,95.6421970176589
86,87.22063374389886
87,84.35780298234108
88,92.77936625610114
89,96.60353831146203
90,92.77936625610113
91,96.60353831146205
92,83.39646168853794
93,87.22063374389887
94,180.0
95,84.3578029823411
96,95.6421970176589
97,180.0
98,87.22063374389887
99,180.0
100,95.6421970176589
101,83.39646168853795
102,84.3578029823411
103,96.60353831146205
104,92.77936625610113
105,84.35780298234108
106,96.60353831146205
107,83.39646168853795
108,95.64219701765892
109,179.99999914622634
110,92.77936625610113
111,87.22063374389887
112,180.0
113,95.6421970176589
114,180.0
115,87.22063374389887
116,83.39646168853795
117,92.77936625610114
118,96.60353831146205
119,84.35780298234108
