,angle
0,97.70780321661431
1,87.07617946221643
2,110.29756449798043
3,121.90178346913846
4,93.28720165809221
5,151.99453632676864
6,84.6949454369723
7,88.20531199284405
8,150.98972392654446
9,80.68500186892263
10,88.20531199284405
11,150.98972392654443
12,87.07617946221644
13,93.2872016580922
14,80.68500186892261
15,110.2975644979805
16,151.99453632676858
17,121.90178346913848
18,84.69494543697232
19,97.70780321661428
20,80.6850018689226
21,150.9897239265444
22,84.69494543697226
23,121.90178346913846
24,88.20531199284406
25,151.99453632676855
26,110.29756449798052
27,93.28720165809223
28,87.0761794622165
29,97.70780321661431
30,97.70780321661431
31,84.69494543697229
32,151.99453632676858
33,93.28720165809224
34,121.90178346913848
35,110.29756449798043
36,87.07617946221643
37,80.68500186892263
38,150.98972392654443
39,88.20531199284402
