,angle
0,107.7716937259942
1,114.21257248905161
2,107.77174166727737
3,107.7718388664188
4,111.60791643830936
5,107.77189478473326
6,107.77174166727734
7,111.6079164383094
8,107.7718947847333
9,107.77169372599418
10,114.21257248905158
11,107.7718388664188
12,84.08108685038938
13,84.08131398920429
14,95.9186860107957
15,95.91891314961062
16,180.0
17,83.81729732912797
18,96.18270267087202
19,180.0
20,95.91891314961062
21,180.0
22,96.18270267087202
23,95.91868601079571
24,83.817297329128
25,84.08131398920429
26,84.0810868503894
27,83.81718407100985
28,84.08118440459982
29,96.18281592899014
30,180.0
31,95.91881559540019
32,84.08107602678928
33,180.0
34,96.18281592899014
35,95.91892397321071
36,95.91892397321072
37,95.91881559540018
38,180.0
39,83.81718407100988
40,84.08107602678929
41,84.08118440459982
