,length
0,[2.07740052 2.07797278 2.04739819 2.047188   2.08814337 2.0473108 ]
1,[2.03669322 2.01993491 1.98154426 2.02059842 2.01983643 2.02155738]
2,[2.061035   2.03216493 2.07610966 2.06406163 2.04072712 2.06561572]
3,[2.14467438 2.00450231 2.0290537  2.01814333 2.12589986 2.03597942]
4,[2.05048927 2.06360477 2.02836601 2.02026774 2.07774053 2.08466915]
5,[2.04443001 1.98792016 2.14588518 2.03780657 2.11126811 2.02895461]
6,[2.08610354 2.0850295  2.01184684 2.04189022]
7,[2.05202934 2.05828354 2.00986731 2.10666094 2.04883261 2.06273288]
8,[2.04142762 2.11426704 2.02500166 2.06638674 2.02526812 2.09435633]
9,"[2.00917101 3.51472313 3.01978459 3.78651059 3.79486151 3.61149705
 3.58254597 2.05669464 3.02545447 3.0614111  3.79183916 2.04759929
 3.57329829 3.5853497  2.05972483 3.82301918 2.03990339 3.58150721
 2.11928085 3.73068592 3.60828923 3.08911007 3.84520067 3.08093948
 3.55172486 3.05516516]"
10,[1.94770894 1.91704106 1.93598656 1.98511224]
11,[2.06805829 2.083584   2.00138931 2.07056732 2.04968121 2.08997884]
12,[2.06663223 2.01548743 2.06849814 2.06847048 2.0422981  2.08689599]
13,[2.0707393  2.02208378 2.06950646 2.07816529]
14,[2.06433026 2.05491185 2.07017091 2.03635138 2.06704611 2.07512618]
15,[2.06509029 2.06198379 2.03573223 2.05496324 2.08688557 2.06116177]
16,[2.02100451 2.01085707 2.01831811 2.0165055  2.0113046  2.03463592]
17,[2.06569194 2.01762419 1.99588687 2.09037584]
18,[2.05361841 2.04649738 2.05134069 2.10314117 2.04609898 2.0589252 ]
19,[2.08074375 2.06170979 2.03931161 2.04122854 2.07907576 2.07188929]
