,angle
0,89.3040707969956
1,90.69858406607085
2,89.30141593392915
3,90.6959292030044
4,180.0
5,89.30430630419805
6,90.69569369580195
7,179.99999879258172
8,90.69592920300438
9,179.99999879258172
10,90.69569369580195
11,89.30141593392915
12,89.30430630419805
13,90.69858406607085
14,89.3040707969956
15,89.30384727735243
16,90.69892499746827
17,89.30107500253175
18,90.69615272264757
19,180.0
20,89.3039653768236
21,90.6960346231764
22,180.0
23,90.69615272264757
24,180.0
25,90.69603462317642
26,89.30107500253173
27,89.30396537682358
28,90.69892499746825
29,89.30384727735242
