,length
0,[2.01315869 1.93826848 1.84402543 1.94922869 1.64923098]
1,[1.94847827 1.64929533 1.84369328 2.01215862 1.93914464]
2,[1.84369328 2.01214959 1.93914464 1.94847827 1.64929533]
3,[1.94922869 1.64923252 1.84402543 1.93826848 2.01316996]
4,[2.01214734 1.93914464 1.84369328 1.94847827 1.64929533]
5,[1.94922869 1.64924251 2.01317211 1.93826848 1.84402543]
6,[1.98275526 1.65524384 1.96025661 1.99874631 1.98275025]
7,[1.98312247 1.65584673 1.95662902 1.99956015 1.9831174 ]
8,[1.98312248 1.65584673 1.98312416 1.99956015 1.95662902]
9,[1.90612505 1.64391622 1.77692901 1.9061301  2.02943529]
10,[1.90727825 1.64336282 1.77906858 1.90728325 2.029923  ]
11,[1.84402543 1.93826848 2.01316092 1.94922869 1.649241  ]
12,[1.94847827 1.64929533 1.93914464 2.01216077 1.84369328]
13,[1.90727763 1.64336282 2.029923   1.907277   1.77906858]
14,[1.90612451 1.64391622 1.90612379 2.02943529 1.77692901]
15,[1.98275537 1.65524384 1.98275694 1.99874631 1.96025661]
