,angle
0,94.35304153407044
1,90.74240957460721
2,85.64695846592956
3,179.99999914622634
4,89.25759042539279
5,89.25759042539279
6,179.99999914622634
7,85.64695846592956
8,90.74240957460721
9,90.74240957460721
10,89.25759042539279
11,179.99999879258172
12,94.35304153407044
13,89.25759042539278
14,90.74240957460721
15,94.35304153407046
16,85.64695846592956
17,90.74240957460721
18,89.25759042539278
19,179.99999914622634
20,180.0
21,89.25759042539278
22,90.74240957460721
23,85.64695846592953
24,90.74240957460722
25,89.25759042539278
26,94.35304153407044
27,179.99999879258172
28,89.25759042539278
29,90.74240957460722
