,angle
0,89.57420339005198
1,81.1282405991944
2,98.87175940080559
3,180.0
4,90.42579660994805
5,90.42566974152696
6,89.57433025847304
7,90.42579660994802
8,179.99999879258172
9,179.99999879258172
10,98.8717594008056
11,89.57433025847304
12,81.12824059919443
13,90.42566974152696
14,89.57420339005195
15,89.57420339005198
16,90.42566974152696
17,89.57433025847305
18,90.42579660994804
19,179.99999879258172
20,81.1282405991944
21,98.8717594008056
22,180.0
23,90.42579660994804
24,180.0
25,98.8717594008056
26,89.57433025847304
27,81.1282405991944
28,90.42566974152696
29,89.57420339005195
30,86.57736178362015
31,95.59426733644607
32,87.8888122277247
33,172.1781141814986
34,89.6400161177495
35,87.1173412083434
36,89.9023061205117
37,87.88902320456141
38,175.26874718519872
39,175.26900673846808
40,89.64024255994194
41,96.08732821996895
42,86.57712838870928
43,87.1168869728243
44,95.59398041829161
45,87.11688697282432
46,95.59398041829158
47,96.08732821996894
48,89.64001611774951
49,175.26874718519863
50,86.57712838870928
51,175.2690067384684
52,87.88881222772471
53,89.9023061205117
54,89.64024255994198
55,172.17811418149853
56,87.88902320456144
57,95.59426733644602
58,87.11734120834339
59,86.57736178362013
60,95.59398041829158
61,87.11688697282432
62,96.08732821996894
63,175.26874718519878
64,89.6400161177495
65,86.57712838870927
66,89.640242559942
67,87.88902320456147
68,172.17811418149853
69,175.2690067384684
70,89.90230612051168
71,87.8888122277247
72,87.1173412083434
73,95.59426733644604
74,86.57736178362015
75,86.57736178362012
76,87.11734120834339
77,87.88902320456143
78,89.9023061205117
79,175.26874718519855
80,95.59426733644604
81,172.1781141814986
82,87.88881222772469
83,89.64001611774948
84,89.64024255994195
85,175.26900673846808
86,96.08732821996894
87,86.57712838870931
88,95.59398041829165
89,87.1168869728243
