,angle
0,59.667454076360805
1,64.59410158637833
2,123.50361305546471
3,64.59409704928743
4,66.15551618496941
5,49.08009166975849
6,98.16031350905224
7,130.91990833024153
8,130.74941439187953
9,66.15543614654905
10,89.27130075819224
11,123.50367005416612
12,89.27130075819223
13,96.47521947603653
14,130.74948597113647
15,83.52478052396346
16,167.04956104792694
17,59.66734961627483
18,98.16048467727666
19,130.74949950860582
20,49.080242338638335
21,64.59416837251491
22,130.91975766136167
23,123.50367005416615
24,130.74949950860582
25,167.049561047927
26,96.47521947603653
27,66.15544507382025
28,83.52478052396347
29,89.27130075819225
30,59.66734961627484
31,49.080242338638335
32,64.59417290961207
33,130.91975766136167
34,66.15543614654905
35,96.47521947603654
36,123.50366445172786
37,83.52478052396346
38,89.27130075819224
39,49.080221839293756
40,180.0
41,96.47521947603653
42,130.91977816070627
43,59.66736554624463
44,83.52478052396347
