,angle
0,90.05817967093881
1,89.94184742451385
2,90.05815257548615
3,89.9418203290612
4,180.0
5,89.9391755493901
6,90.06082445060989
7,180.0
8,89.94182032906119
9,180.0
10,90.0608244506099
11,90.05815257548615
12,89.93917554939011
13,89.94184742451385
14,90.05817967093881
15,90.05588971783581
16,89.94413737848141
17,90.05586262151857
18,89.9441102821642
19,180.0
20,89.94100627347669
21,90.05899372652328
22,179.99999879258172
23,89.94411028216416
24,180.0
25,90.05899372652331
26,90.05586262151859
27,89.94100627347672
28,89.94413737848143
29,90.05588971783583
