,angle
0,92.73470724084261
1,96.74270626879141
2,85.24027714756643
3,176.99628816770885
4,85.23668570411328
5,85.2366857041133
6,176.99628816770897
7,85.2402771475664
8,96.74270626879142
9,92.78949730894267
10,85.31282443267014
11,177.14574421171093
12,96.86792757878936
13,85.31282443267014
14,92.78949730894267
15,92.78949730894267
16,85.31282443267014
17,177.14574421171093
18,96.74270626879141
19,85.2366857041133
20,96.86792757878936
21,85.31282443267014
22,85.24027714756643
23,176.99628816770908
24,92.78949730894267
25,176.99628816770885
26,85.2402771475664
27,85.23668570411328
28,96.74270626879142
29,92.73470724084261
