,angle
0,92.91784047279732
1,87.08215952720268
2,92.91783471289897
3,52.697188899823125
4,87.08216528710102
5,180.0
6,127.30281110017688
7,180.0
8,87.08216528710102
9,127.30281110017688
10,92.91783471289897
11,87.08215952720268
12,52.697188899823125
13,92.91783471289897
14,52.697188899823125
15,87.08216528710103
16,92.91784047279734
17,127.30281110017688
18,127.30280896325378
19,180.0
20,87.08216528710103
21,52.69719103674623
22,52.69719103674623
23,127.30281110017688
24,180.0
25,92.91783471289897
26,127.30280896325378
27,52.697188899823125
28,92.91784047279732
29,92.91783471289897
30,87.08215952720268
31,180.0
32,127.30281110017688
33,52.697188899823125
34,87.08216528710102
35,87.08216528710102
36,180.0
37,87.08215952720268
38,52.697188899823125
39,127.30281110017688
40,92.91783471289897
41,92.91783471289897
42,87.08216528710103
43,52.69719103674623
44,127.30280896325378
45,180.0
46,92.91784047279734
47,127.30281110017688
48,52.697188899823125
49,87.08216528710103
50,52.697188899823125
51,127.30281110017688
52,92.91783471289897
53,180.0
54,127.30280896325377
55,52.69719103674624
