,angle
0,119.99999999999999
1,90.0
2,119.99999999999999
3,119.99999999999999
4,90.0
5,120.00000000000001
6,90.0
7,120.00000000000001
8,119.99999999999997
9,120.00000000000001
10,120.00000000000001
11,89.99999999999997
12,90.0
13,120.00000000000001
14,119.99999999999999
15,119.99999999999999
16,120.00000000000001
17,89.99999999999997
18,120.00000000000001
19,119.99999999999999
20,89.99999999999997
21,90.0
22,119.99999999999999
23,120.00000000000001
24,119.99999999999999
25,119.99999999999999
26,90.0
27,90.0
28,119.99999999999999
29,120.00000000000001
30,90.0
31,120.00000000000001
32,119.99999999999997
33,120.00000000000001
34,120.00000000000001
35,89.99999999999997
