,length
0,[2.38251049 2.34663751 2.38702251 2.38251049]
1,[2.38251049 2.38251049 2.38702251 2.34663751]
2,[2.38251049 2.34663751 2.38251049 2.38702251]
3,[2.38251049 2.38702251 2.38251049 2.34663751]
4,[2.36281406 2.36281406 2.38702251 2.36662697]
5,[2.36281406 2.38702251 2.36662697 2.36281406]
6,[2.36281406 2.36281406 2.36662697 2.38702251]
7,[2.36281406 2.38702251 2.36281406 2.36662697]
8,[2.36281406 2.36281406 2.38561295 2.34663751]
9,[2.36281406 2.34663751 2.38561295 2.36281406]
10,[2.36281406 2.38561295 2.36281406 2.34663751]
11,[2.36281406 2.34663751 2.36281406 2.38561295]
