,length
0,"[2.4661261  2.36769214 2.4661261  2.36769214 2.36769214 2.4661261
 2.36769214 2.4661261 ]"
1,"[2.36769214 2.36769214 2.4661261  2.4661261  2.4661261  2.4661261
 2.36769214 2.36769214]"
2,"[2.4661261  2.4661261  2.36769214 2.36769214 2.36769214 2.36769214
 2.4661261  2.4661261 ]"
3,"[2.36769214 2.4661261  2.4661261  2.36769214 2.36769214 2.4661261
 2.4661261  2.36769214]"
4,"[2.4661261  2.36769214 2.36769214 2.4661261  2.4661261  2.36769214
 2.36769214 2.4661261 ]"
5,"[2.36769214 2.4661261  2.36769214 2.4661261  2.4661261  2.36769214
 2.4661261  2.36769214]"
6,"[2.4661261  2.36769214 2.4661261  2.36769214 2.36769214 2.4661261
 2.36769214 2.4661261 ]"
7,"[2.36769214 2.36769214 2.4661261  2.4661261  2.4661261  2.4661261
 2.36769214 2.36769214]"
8,"[2.4661261  2.4661261  2.36769214 2.36769214 2.36769214 2.36769214
 2.4661261  2.4661261 ]"
9,"[2.36769214 2.4661261  2.4661261  2.36769214 2.36769214 2.4661261
 2.4661261  2.36769214]"
10,"[2.4661261  2.36769214 2.36769214 2.4661261  2.4661261  2.36769214
 2.36769214 2.4661261 ]"
11,"[2.36769214 2.4661261  2.36769214 2.4661261  2.4661261  2.36769214
 2.4661261  2.36769214]"
