,angle
0,87.0109384119954
1,83.93562823172462
2,100.65934883578355
3,83.93562823172462
4,172.32971275222104
5,96.99038954024284
6,172.32971275222098
7,96.99038954024284
8,85.31877434022563
9,83.93562823172462
10,160.9482317610901
11,96.99038954024284
12,83.93562823172462
13,87.0109384119954
14,96.99038954024284
15,87.01093841199544
16,96.99038954024283
17,85.31877434022562
18,96.99038954024283
19,172.32971275222104
20,83.93562823172462
21,172.32971275222104
22,83.93562823172462
23,100.6593488357835
24,96.99038954024283
25,160.9482317610901
26,83.93562823172462
27,96.99038954024283
28,87.01093841199544
29,83.93562823172462
