,angle
0,80.3782662973035
1,134.41718262997873
2,80.37846306751744
3,68.30604963227606
4,66.43702693637593
5,33.2184986820915
6,134.74314258339157
7,134.41739502618825
8,146.78150131790852
9,68.30611564710365
10,156.95080778430048
11,92.2876839623056
12,80.37835312094572
13,78.47535609854465
14,92.28761482950878
15,134.74314258339157
16,101.52464390145535
17,134.74307656836177
18,80.37848237808767
19,134.4172281283713
20,146.7814717456483
21,80.3783531209457
22,66.43702693637591
23,33.21852825435171
24,92.28740165502433
25,80.37848237808767
26,78.47545168593476
27,92.28768396230561
28,68.30604963227606
29,101.52454831406523
30,134.7430765683618
31,101.52454831406523
32,156.95080778430048
33,80.37846306751746
34,78.47545168593476
35,33.21852825435171
36,68.30611564710367
37,134.41718262997873
38,146.7814717456483
39,101.52464390145536
40,146.78150131790852
41,180.0
42,80.37826629730347
43,78.47535609854464
44,33.2184986820915
45,80.37846306751744
46,68.30604963227604
47,80.37826629730348
48,134.41718262997873
49,66.43702693637594
50,33.21849868209153
51,134.74314258339157
52,134.41739502618825
53,146.78150131790852
54,92.28740165502431
55,156.95080778430048
56,134.7430765683618
57,80.37848237808768
58,78.47545168593476
59,92.2876839623056
60,68.30604963227609
61,101.52454831406524
62,92.28768396230561
63,80.37848237808768
64,134.7430765683618
65,101.52454831406523
66,156.95080778430048
67,80.37846306751744
68,78.47545168593477
69,68.30611564710367
70,80.37835312094569
71,78.47535609854464
72,92.28761482950878
73,134.74314258339157
74,101.52464390145536
75,134.4172281283713
76,146.7814717456483
77,80.37835312094572
78,66.4370269363759
79,33.218528254351675
80,33.21852825435172
81,68.30611564710364
82,134.41718262997875
83,146.78147174564828
84,101.52464390145535
85,146.78150131790855
86,180.0
87,80.37826629730348
88,78.47535609854464
89,33.218498682091486
