,angle
0,70.5287793655093
1,70.5287793655093
2,109.4712206344907
3,70.5287793655093
4,109.4712206344907
5,109.4712206344907
6,180.0
7,109.47122063449069
8,70.52877936550931
9,109.47122063449069
10,70.52877936550931
11,180.0
12,109.4712206344907
13,70.52877936550931
14,109.47122063449069
15,180.0
16,70.52877936550931
17,109.4712206344907
18,180.0
19,109.47122063449069
20,109.47122063449069
21,70.52877936550931
22,70.52877936550931
23,70.52877936550931
24,109.4712206344907
25,109.47122063449069
26,70.52877936550931
27,70.52877936550931
