,angle
0,114.37063455896764
1,100.06264023234218
2,114.3706345589676
3,114.37063455896761
4,100.06264023234222
5,114.37063455896755
6,114.37063455896754
7,100.06264023234219
8,114.37063455896764
9,114.37063455896761
10,100.0626402323422
11,114.3706345589676
12,100.06264023234219
13,114.37063455896757
14,114.3706345589676
15,114.37063455896757
16,114.37063455896758
17,100.06264023234223
18,114.37063455896762
19,114.37063455896751
20,100.06264023234218
21,100.0626402323422
22,114.37063455896761
23,114.37063455896762
24,100.06264023234218
25,114.37063455896761
26,114.37063455896757
27,114.3706345589676
28,114.37063455896764
29,100.06264023234218
30,114.3706345589676
31,114.37063455896764
32,100.06264023234219
33,100.06264023234223
34,114.37063455896755
35,114.37063455896755
36,114.37063455896757
37,100.06264023234219
38,114.37063455896757
39,114.37063455896761
40,100.0626402323422
41,114.37063455896761
42,114.37063455896758
43,114.37063455896764
44,100.06264023234222
45,100.06264023234218
46,114.3706345589676
47,114.37063455896757
48,114.37063455896758
49,114.37063455896757
50,100.0626402323422
51,100.06264023234219
52,114.37063455896762
53,114.3706345589676
54,100.06264023234215
55,114.37063455896761
56,114.37063455896757
57,114.37063455896765
58,114.37063455896757
59,100.0626402323422
60,100.06264023234216
61,114.37063455896761
62,114.37063455896758
63,114.37063455896758
64,114.37063455896757
65,100.06264023234226
66,114.37063455896765
67,100.0626402323422
68,114.37063455896755
69,114.3706345589676
70,100.06264023234223
71,114.37063455896755
72,93.1313743521714
73,86.8686256478286
74,93.13137435217138
75,86.8686256478286
76,180.0
77,93.13137435217138
78,86.86862564782864
79,180.0
80,86.86862564782861
81,180.0
82,86.86862564782862
83,93.13137435217138
84,93.13137435217136
85,86.86862564782865
86,93.13137435217139
87,93.13137435217135
88,93.13137435217139
89,86.8686256478286
90,86.86862564782865
91,180.0
92,86.86862564782861
93,93.13137435217139
94,180.0
95,86.86862564782861
96,180.0
97,93.13137435217139
98,86.86862564782861
99,86.86862564782861
100,93.1313743521714
101,93.13137435217139
102,86.86862564782861
103,93.13137435217139
104,86.86862564782861
105,93.13137435217139
106,180.0
107,93.13137435217139
108,86.86862564782861
109,180.0
110,93.13137435217139
111,180.0
112,86.86862564782861
113,86.86862564782861
114,93.13137435217139
115,93.13137435217139
116,86.86862564782861
117,93.13137435217138
118,86.86862564782865
119,93.13137435217135
120,86.86862564782862
121,180.0
122,93.13137435217139
123,86.86862564782861
124,179.99999914622634
125,86.86862564782861
126,180.0
127,86.86862564782861
128,93.13137435217139
129,93.13137435217139
130,86.86862564782862
131,93.13137435217139
132,86.8686256478286
133,93.1313743521714
134,86.8686256478286
135,93.13137435217139
136,180.0
137,93.13137435217139
138,86.8686256478286
139,180.0
140,93.1313743521714
141,180.0
142,86.86862564782862
143,86.86862564782861
144,93.1313743521714
145,93.13137435217139
146,86.86862564782861
147,93.13137435217138
148,86.86862564782858
149,93.13137435217143
150,86.86862564782862
151,180.0
152,93.13137435217138
153,86.86862564782864
154,180.0
155,86.86862564782865
156,180.0
157,86.86862564782862
158,93.13137435217139
159,93.13137435217136
160,86.8686256478286
161,93.13137435217135
162,93.13137435217143
163,93.13137435217138
164,86.86862564782862
165,86.86862564782858
166,180.0
167,86.86862564782864
168,93.13137435217136
169,180.0
170,86.8686256478286
171,180.0
172,93.13137435217138
173,86.86862564782864
174,86.86862564782862
175,93.13137435217135
176,93.13137435217138
177,93.13137435217136
178,86.86862564782864
179,93.13137435217136
180,86.86862564782864
181,180.0
182,93.13137435217139
183,86.8686256478286
184,180.0
185,86.86862564782862
186,180.0
187,86.86862564782862
188,93.13137435217138
189,93.13137435217139
190,86.86862564782862
191,93.13137435217136
